city,res,origins,departure,budget,samples,mode,exclude,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,expansions
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,1,0.954102954,1.8801170000000411,32166872,0.0,0.0,4979167232,685123
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,1,0.2965037,0.5691879999999969,18441704,0.0,0.0,4952989696,268432
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,2,0.341601851,0.6336800000000267,18441704,0.0,0.0,4953051136,268432
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,2,0.374780884,0.694279999999992,18460008,0.0,0.0,4953051136,377725
Vienna,6,127,28800000,10800000,4,mean_intersection,false,fine,2,0.176771434,0.31608300000004874,33591952,0.0,0.0,4953157632,3785567
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,2,0.027711976,0.05248299999999517,8019928,0.0,0.0,4953141248,664274
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,2,0.972444482,1.8617419999999925,32166872,0.0,0.0,4953157632,685123
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,3,0.957093853,1.866940999999997,32166872,0.0,0.0,4953411584,685123
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,3,0.314195481,0.5961680000000342,18441704,0.0,0.0,4953407488,268432
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,3,0.442625089,0.7575610000000097,18460008,0.0,0.0,4953407488,377725
Vienna,6,127,28800000,10800000,4,mean_intersection,false,fine,3,0.171983792,0.30555799999996225,33591952,0.0,0.0,4953407488,3785567
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,3,0.021090594,0.038115000000004784,8019928,0.0,0.0,4953411584,664274
Vienna,6,127,28800000,10800000,96,mean_intersection,false,fine,0,2.773952836,5.427826999999979,35343496,0.0,0.0,4878323712,64846166
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,0,0.361724324,0.712206999999978,8349080,0.0,0.0,4878323712,10666728
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,0,5.868463597,11.244181000000026,23405792,0.0,0.0,4878360576,4575268
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,1,6.05846291,11.406595999999979,23405792,0.0,0.0,4878487552,4575268
Vienna,6,127,28800000,10800000,96,mean_intersection,false,fine,1,2.841172035,5.528044000000023,35343496,0.0,0.0,4878614528,64846166
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,1,0.386665575,0.7541460000000484,8349080,0.0,0.0,4878614528,10666728
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,2,0.383916285,0.7512330000000134,8349080,0.0,0.0,4878614528,10666728
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,2,6.023734723,11.55582800000002,23405792,0.0,0.0,4878614528,4575268
Vienna,6,127,28800000,10800000,96,mean_intersection,false,fine,2,2.676274136,5.2936260000000175,35343496,0.0,0.0,4878954496,64846166
Vienna,6,127,28800000,10800000,96,mean_intersection,false,fine,3,2.532718299,5.0186219999999935,35343496,0.0,0.0,4879343616,64846166
