city,res,origins,departure,budget,samples,mode,exclude,variant,fine_mean,actual_mean,bias,wmae,abs_relative_p50,abs_relative_p95,min_signed,max_signed,zero_fine,zero_max_abs
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,4.991509133858268e6,5.6695224015748035e6,678013.2677165355,0.13583332205433712,0.14304016095315344,0.21351116217886856,299567.0,1.14844e6,0,0.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,4.991509133858268e6,5.6695224015748035e6,678013.2677165355,0.13583332205433712,0.14304016095315344,0.21351116217886856,299567.0,1.14844e6,0,0.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,4.991509133858268e6,4.1526858346456694e6,-838823.2992125985,0.16805003791793452,0.1750813091497541,0.21996161665381553,-1.278958e6,-349207.0,0,0.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,4.991509133858268e6,4.1124809133858266e6,-879028.2204724409,0.176104700382063,0.18352963300698563,0.22861807892724229,-1.338437e6,-353980.0,0,0.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,2.4033908582677166e6,2.4940905354330707e6,90699.67716535433,0.03773821343013995,0.03719641910437344,0.050284600357472814,59105.0,146288.0,0,0.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,2.4033908582677166e6,2.2132429212598423e6,-190147.93700787402,0.07911652669966726,0.07894385001523503,0.09153555858317326,-247300.0,-142262.0,0,0.0
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,4.991509133858268e6,6.341034826771653e6,1.3495256929133858e6,0.2703642639375976,0.27199312416057825,0.3576646621501395,942994.0,1.823256e6,0,0.0
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,4.991509133858268e6,6.341034826771653e6,1.3495256929133858e6,0.2703642639375976,0.27199312416057825,0.3576646621501395,942994.0,1.823256e6,0,0.0
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,4.991509133858268e6,3.874024748031496e6,-1.1174843858267716e6,0.22387705919371803,0.2222395057059961,0.2701786045040585,-1.637205e6,-645719.0,0,0.0
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,4.991509133858268e6,3.805993771653543e6,-1.1855153622047245e6,0.23750639945005192,0.23600616064394409,0.28527662061633496,-1.648761e6,-744148.0,0,0.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,2.4033908582677166e6,2.6432530078740157e6,239862.1496062992,0.09980155694658163,0.09749842856746263,0.11818729672168138,200824.0,287210.0,0,0.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,2.4033908582677166e6,2.308444157480315e6,-94946.70078740157,0.03950530995022423,0.04111647076909015,0.05570116484704263,-142223.0,-3215.0,0,0.0
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,2.668782803149606e6,3.922321196850394e6,1.2535383937007873e6,0.4697041633442048,0.47694123350875745,0.9056289642905386,207111.0,2.669201e6,0,0.0
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,2.668782803149606e6,3.922321196850394e6,1.2535383937007873e6,0.4697041633442048,0.47694123350875745,0.9056289642905386,207111.0,2.669201e6,0,0.0
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,2.668782803149606e6,1.9232096771653544e6,-745573.125984252,0.27936822925580607,0.28106881702772113,0.4986161101135297,-1.425079e6,-197025.0,0,0.0
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,2.668782803149606e6,1.897624598425197e6,-771158.2047244095,0.28895502616935137,0.28449929410923736,0.5027010609677737,-1.447598e6,-218197.0,0,0.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,355203.0787401575,387423.2834645669,32220.20472440945,0.09070924958952727,0.07585699589025761,0.18661513205907035,11192.0,82378.0,0,0.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,355203.0787401575,283332.6692913386,-71870.4094488189,0.20233611066584933,0.20480977997814995,0.27425861813753605,-122068.0,-16584.0,0,0.0
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,2.668782803149606e6,5.102594283464567e6,2.4338114803149607e6,0.911955621657431,0.8870559351948228,1.273405221732306,806563.0,3.540523e6,0,0.0
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,2.668782803149606e6,5.102594283464567e6,2.4338114803149607e6,0.911955621657431,0.8870559351948228,1.273405221732306,806563.0,3.540523e6,0,0.0
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,2.668782803149606e6,2.000775937007874e6,-668006.8661417323,0.2515268985640615,0.23105317126536248,0.48220658350049284,-1.633546e6,119544.0,0,0.0
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,2.668782803149606e6,1.9511965118110236e6,-717586.2913385826,0.2693516188936715,0.2391870640305469,0.49701509632698826,-1.634958e6,79672.0,0,0.0
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,free,355203.0787401575,467405.3070866142,112202.22834645669,0.31588191393052717,0.3118654007260542,0.4994203479238938,73790.0,181690.0,0,0.0
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,walking,355203.0787401575,336830.23622047243,-18372.84251968504,0.06976723152560105,0.06682935783779115,0.13607388801184683,-63632.0,42500.0,0,0.0
