city,res,origins,departure,budget,samples,mode,exclude,variant,origin,fine_population,actual_population,signed_error
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b455fffff,2.423427e6,2.17844e6,-244987.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b62dfffff,2.449105e6,2.205535e6,-243570.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b621fffff,2.434081e6,2.198127e6,-235954.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b445fffff,2.44693e6,2.217055e6,-229875.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b419fffff,2.372684e6,2.144646e6,-228038.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b625fffff,2.442398e6,2.217247e6,-225151.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b717fffff,2.446975e6,2.226881e6,-220094.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b701fffff,2.440695e6,2.222226e6,-218469.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b44bfffff,2.423427e6,2.206216e6,-217211.0
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,881e15b4e5fffff,4.540828e6,6.364084e6,1.823256e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,881e15b415fffff,4.575126e6,6.33525e6,1.760124e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,881e15b433fffff,4.621068e6,6.364084e6,1.743016e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,881e15b4edfffff,4.636279e6,6.364084e6,1.727805e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,881e15b419fffff,4.635952e6,6.36142e6,1.725468e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,881e15b5c5fffff,4.647871e6,6.36403e6,1.716159e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,881e15b411fffff,4.687082e6,6.365294e6,1.678212e6
