"c","probe","company"
4955,"1970-01-02 01:40:00.000","uk"
45,"1970-01-02 01:40:00.000","ter"
241,"1970-01-02 01:40:00.000","intercites"
25864,"1970-01-02 01:40:00.000","swiss"
8,"1970-01-02 01:40:00.000","tgv"
8,"1970-01-02 01:45:00.000","tgv"
26324,"1970-01-02 01:45:00.000","swiss"
241,"1970-01-02 01:45:00.000","intercites"
46,"1970-01-02 01:45:00.000","ter"
4365,"1970-01-02 01:45:00.000","uk"
44,"1970-01-02 01:45:00.000","sncb"
35,"1970-01-02 01:50:00.000","sncb"
8,"1970-01-02 01:50:00.000","tgv"
241,"1970-01-02 01:50:00.000","intercites"
39,"1970-01-02 01:50:00.000","ter"
3716,"1970-01-02 01:50:00.000","uk"
26659,"1970-01-02 01:50:00.000","swiss"
31,"1970-01-02 01:55:00.000","sncb"
38,"1970-01-02 01:55:00.000","ter"
2927,"1970-01-02 01:55:00.000","uk"
26811,"1970-01-02 01:55:00.000","swiss"
241,"1970-01-02 01:55:00.000","intercites"
8,"1970-01-02 01:55:00.000","tgv"
28,"1970-01-02 02:00:00.000","sncb"
241,"1970-01-02 02:00:00.000","intercites"
5,"1970-01-02 02:00:00.000","tgv"
26981,"1970-01-02 02:00:00.000","swiss"
39,"1970-01-02 02:00:00.000","ter"
2073,"1970-01-02 02:00:00.000","uk"
27,"1970-01-02 02:05:00.000","sncb"
241,"1970-01-02 02:05:00.000","intercites"
4,"1970-01-02 02:05:00.000","tgv"
2001,"1970-01-02 02:05:00.000","uk"
38,"1970-01-02 02:05:00.000","ter"
27410,"1970-01-02 02:05:00.000","swiss"
25,"1970-01-02 02:10:00.000","sncb"
4,"1970-01-02 02:10:00.000","tgv"
27666,"1970-01-02 02:10:00.000","swiss"
1908,"1970-01-02 02:10:00.000","uk"
39,"1970-01-02 02:10:00.000","ter"
241,"1970-01-02 02:10:00.000","intercites"
241,"1970-01-02 02:15:00.000","intercites"
22,"1970-01-02 02:15:00.000","sncb"
4,"1970-01-02 02:15:00.000","tgv"
27992,"1970-01-02 02:15:00.000","swiss"
1893,"1970-01-02 02:15:00.000","uk"
39,"1970-01-02 02:15:00.000","ter"
241,"1970-01-02 02:20:00.000","intercites"
22,"1970-01-02 02:20:00.000","sncb"
34,"1970-01-02 02:20:00.000","ter"
1851,"1970-01-02 02:20:00.000","uk"
28260,"1970-01-02 02:20:00.000","swiss"
4,"1970-01-02 02:20:00.000","tgv"
241,"1970-01-02 02:25:00.000","intercites"
21,"1970-01-02 02:25:00.000","sncb"
4,"1970-01-02 02:25:00.000","tgv"
1814,"1970-01-02 02:25:00.000","uk"
27,"1970-01-02 02:25:00.000","ter"
28411,"1970-01-02 02:25:00.000","swiss"
28560,"1970-01-02 02:30:00.000","swiss"
1755,"1970-01-02 02:30:00.000","uk"
21,"1970-01-02 02:30:00.000","ter"
4,"1970-01-02 02:30:00.000","tgv"
241,"1970-01-02 02:30:00.000","intercites"
21,"1970-01-02 02:30:00.000","sncb"
28913,"1970-01-02 02:35:00.000","swiss"
25,"1970-01-02 02:35:00.000","ter"
1566,"1970-01-02 02:35:00.000","uk"
4,"1970-01-02 02:35:00.000","tgv"
21,"1970-01-02 02:35:00.000","sncb"
241,"1970-01-02 02:35:00.000","intercites"
4,"1970-01-02 02:40:00.000","tgv"
29069,"1970-01-02 02:40:00.000","swiss"
21,"1970-01-02 02:40:00.000","ter"
1325,"1970-01-02 02:40:00.000","uk"
241,"1970-01-02 02:40:00.000","intercites"
21,"1970-01-02 02:40:00.000","sncb"
241,"1970-01-02 02:45:00.000","intercites"
29416,"1970-01-02 02:45:00.000","swiss"
1279,"1970-01-02 02:45:00.000","uk"
23,"1970-01-02 02:45:00.000","ter"
4,"1970-01-02 02:45:00.000","tgv"
20,"1970-01-02 02:45:00.000","sncb"
241,"1970-01-02 02:50:00.000","intercites"
12,"1970-01-02 02:50:00.000","sncb"
4,"1970-01-02 02:50:00.000","tgv"
29677,"1970-01-02 02:50:00.000","swiss"
25,"1970-01-02 02:50:00.000","ter"
1201,"1970-01-02 02:50:00.000","uk"
4,"1970-01-02 02:55:00.000","tgv"
29798,"1970-01-02 02:55:00.000","swiss"
26,"1970-01-02 02:55:00.000","ter"
1093,"1970-01-02 02:55:00.000","uk"
12,"1970-01-02 02:55:00.000","sncb"
241,"1970-01-02 02:55:00.000","intercites"
4,"1970-01-02 03:00:00.000","tgv"
29926,"1970-01-02 03:00:00.000","swiss"
899,"1970-01-02 03:00:00.000","uk"
27,"1970-01-02 03:00:00.000","ter"
12,"1970-01-02 03:00:00.000","sncb"
241,"1970-01-02 03:00:00.000","intercites"
241,"1970-01-02 03:05:00.000","intercites"
12,"1970-01-02 03:05:00.000","sncb"
30292,"1970-01-02 03:05:00.000","swiss"
28,"1970-01-02 03:05:00.000","ter"
849,"1970-01-02 03:05:00.000","uk"
4,"1970-01-02 03:05:00.000","tgv"
30460,"1970-01-02 03:10:00.000","swiss"
836,"1970-01-02 03:10:00.000","uk"
27,"1970-01-02 03:10:00.000","ter"
4,"1970-01-02 03:10:00.000","tgv"
12,"1970-01-02 03:10:00.000","sncb"
241,"1970-01-02 03:10:00.000","intercites"
4,"1970-01-02 03:15:00.000","tgv"
241,"1970-01-02 03:15:00.000","intercites"
27,"1970-01-02 03:15:00.000","ter"
860,"1970-01-02 03:15:00.000","uk"
30712,"1970-01-02 03:15:00.000","swiss"
12,"1970-01-02 03:15:00.000","sncb"
12,"1970-01-02 03:20:00.000","sncb"
241,"1970-01-02 03:20:00.000","intercites"
27,"1970-01-02 03:20:00.000","ter"
840,"1970-01-02 03:20:00.000","uk"
30963,"1970-01-02 03:20:00.000","swiss"
4,"1970-01-02 03:20:00.000","tgv"
12,"1970-01-02 03:25:00.000","sncb"
4,"1970-01-02 03:25:00.000","tgv"
31026,"1970-01-02 03:25:00.000","swiss"
827,"1970-01-02 03:25:00.000","uk"
24,"1970-01-02 03:25:00.000","ter"
241,"1970-01-02 03:25:00.000","intercites"
241,"1970-01-02 03:30:00.000","intercites"
12,"1970-01-02 03:30:00.000","sncb"
4,"1970-01-02 03:30:00.000","tgv"
31043,"1970-01-02 03:30:00.000","swiss"
823,"1970-01-02 03:30:00.000","uk"
21,"1970-01-02 03:30:00.000","ter"
4,"1970-01-02 03:35:00.000","tgv"
24,"1970-01-02 03:35:00.000","ter"
857,"1970-01-02 03:35:00.000","uk"
31376,"1970-01-02 03:35:00.000","swiss"
241,"1970-01-02 03:35:00.000","intercites"
12,"1970-01-02 03:35:00.000","sncb"
241,"1970-01-02 03:40:00.000","intercites"
12,"1970-01-02 03:40:00.000","sncb"
4,"1970-01-02 03:40:00.000","tgv"
31570,"1970-01-02 03:40:00.000","swiss"
28,"1970-01-02 03:40:00.000","ter"
833,"1970-01-02 03:40:00.000","uk"
29,"1970-01-02 03:45:00.000","ter"
869,"1970-01-02 03:45:00.000","uk"
31819,"1970-01-02 03:45:00.000","swiss"
4,"1970-01-02 03:45:00.000","tgv"
15,"1970-01-02 03:45:00.000","sncb"
241,"1970-01-02 03:45:00.000","intercites"
241,"1970-01-02 03:50:00.000","intercites"
15,"1970-01-02 03:50:00.000","sncb"
4,"1970-01-02 03:50:00.000","tgv"
918,"1970-01-02 03:50:00.000","uk"
32,"1970-01-02 03:50:00.000","ter"
31991,"1970-01-02 03:50:00.000","swiss"
15,"1970-01-02 03:55:00.000","sncb"
243,"1970-01-02 03:55:00.000","intercites"
4,"1970-01-02 03:55:00.000","tgv"
32123,"1970-01-02 03:55:00.000","swiss"
33,"1970-01-02 03:55:00.000","ter"
969,"1970-01-02 03:55:00.000","uk"
32163,"1970-01-02 04:00:00.000","swiss"
31,"1970-01-02 04:00:00.000","ter"
979,"1970-01-02 04:00:00.000","uk"
4,"1970-01-02 04:00:00.000","tgv"
246,"1970-01-02 04:00:00.000","intercites"
15,"1970-01-02 04:00:00.000","sncb"
32429,"1970-01-02 04:05:00.000","swiss"
36,"1970-01-02 04:05:00.000","ter"
947,"1970-01-02 04:05:00.000","uk"
4,"1970-01-02 04:05:00.000","tgv"
19,"1970-01-02 04:05:00.000","sncb"
246,"1970-01-02 04:05:00.000","intercites"
44,"1970-01-02 04:10:00.000","sncb"
4,"1970-01-02 04:10:00.000","tgv"
250,"1970-01-02 04:10:00.000","intercites"
32769,"1970-01-02 04:10:00.000","swiss"
991,"1970-01-02 04:10:00.000","uk"
40,"1970-01-02 04:10:00.000","ter"
250,"1970-01-02 04:15:00.000","intercites"
51,"1970-01-02 04:15:00.000","sncb"
4,"1970-01-02 04:15:00.000","tgv"
33125,"1970-01-02 04:15:00.000","swiss"
1066,"1970-01-02 04:15:00.000","uk"
48,"1970-01-02 04:15:00.000","ter"
250,"1970-01-02 04:20:00.000","intercites"
64,"1970-01-02 04:20:00.000","ter"
1122,"1970-01-02 04:20:00.000","uk"
33471,"1970-01-02 04:20:00.000","swiss"
4,"1970-01-02 04:20:00.000","tgv"
64,"1970-01-02 04:20:00.000","sncb"
250,"1970-01-02 04:25:00.000","intercites"
77,"1970-01-02 04:25:00.000","sncb"
4,"1970-01-02 04:25:00.000","tgv"
68,"1970-01-02 04:25:00.000","ter"
1173,"1970-01-02 04:25:00.000","uk"
33701,"1970-01-02 04:25:00.000","swiss"
4,"1970-01-02 04:30:00.000","tgv"
1193,"1970-01-02 04:30:00.000","uk"
71,"1970-01-02 04:30:00.000","ter"
250,"1970-01-02 04:30:00.000","intercites"
34006,"1970-01-02 04:30:00.000","swiss"
89,"1970-01-02 04:30:00.000","sncb"
250,"1970-01-02 04:35:00.000","intercites"
103,"1970-01-02 04:35:00.000","sncb"
4,"1970-01-02 04:35:00.000","tgv"
86,"1970-01-02 04:35:00.000","ter"
1357,"1970-01-02 04:35:00.000","uk"
34546,"1970-01-02 04:35:00.000","swiss"
141,"1970-01-02 04:40:00.000","sncb"
4,"1970-01-02 04:40:00.000","tgv"
106,"1970-01-02 04:40:00.000","ter"
1469,"1970-01-02 04:40:00.000","uk"
250,"1970-01-02 04:40:00.000","intercites"
35241,"1970-01-02 04:40:00.000","swiss"
250,"1970-01-02 04:45:00.000","intercites"
4,"1970-01-02 04:45:00.000","tgv"
35626,"1970-01-02 04:45:00.000","swiss"
129,"1970-01-02 04:45:00.000","ter"
1630,"1970-01-02 04:45:00.000","uk"
180,"1970-01-02 04:45:00.000","sncb"
5,"1970-01-02 04:50:00.000","tgv"
36283,"1970-01-02 04:50:00.000","swiss"
167,"1970-01-02 04:50:00.000","ter"
1712,"1970-01-02 04:50:00.000","uk"
251,"1970-01-02 04:50:00.000","intercites"
220,"1970-01-02 04:50:00.000","sncb"
36810,"1970-01-02 04:55:00.000","swiss"
1818,"1970-01-02 04:55:00.000","uk"
195,"1970-01-02 04:55:00.000","ter"
258,"1970-01-02 04:55:00.000","intercites"
15,"1970-01-02 04:55:00.000","tgv"
254,"1970-01-02 04:55:00.000","sncb"
271,"1970-01-02 05:00:00.000","sncb"
37588,"1970-01-02 05:00:00.000","swiss"
2033,"1970-01-02 05:00:00.000","uk"
240,"1970-01-02 05:00:00.000","ter"
15,"1970-01-02 05:00:00.000","tgv"
261,"1970-01-02 05:00:00.000","intercites"
261,"1970-01-02 05:05:00.000","intercites"
15,"1970-01-02 05:05:00.000","tgv"
39071,"1970-01-02 05:05:00.000","swiss"
289,"1970-01-02 05:05:00.000","ter"
2266,"1970-01-02 05:05:00.000","uk"
293,"1970-01-02 05:05:00.000","sncb"
261,"1970-01-02 05:10:00.000","intercites"
348,"1970-01-02 05:10:00.000","ter"
2574,"1970-01-02 05:10:00.000","uk"
40353,"1970-01-02 05:10:00.000","swiss"
36,"1970-01-02 05:10:00.000","tgv"
358,"1970-01-02 05:10:00.000","sncb"
389,"1970-01-02 05:15:00.000","ter"
2909,"1970-01-02 05:15:00.000","uk"
41289,"1970-01-02 05:15:00.000","swiss"
65,"1970-01-02 05:15:00.000","tgv"
261,"1970-01-02 05:15:00.000","intercites"
414,"1970-01-02 05:15:00.000","sncb"
261,"1970-01-02 05:20:00.000","intercites"
483,"1970-01-02 05:20:00.000","sncb"
85,"1970-01-02 05:20:00.000","tgv"
3313,"1970-01-02 05:20:00.000","uk"
463,"1970-01-02 05:20:00.000","ter"
42693,"1970-01-02 05:20:00.000","swiss"
140,"1970-01-02 05:25:00.000","tgv"
511,"1970-01-02 05:25:00.000","ter"
3640,"1970-01-02 05:25:00.000","uk"
43222,"1970-01-02 05:25:00.000","swiss"
544,"1970-01-02 05:25:00.000","sncb"
267,"1970-01-02 05:25:00.000","intercites"
43964,"1970-01-02 05:30:00.000","swiss"
583,"1970-01-02 05:30:00.000","ter"
4105,"1970-01-02 05:30:00.000","uk"
157,"1970-01-02 05:30:00.000","tgv"
269,"1970-01-02 05:30:00.000","intercites"
578,"1970-01-02 05:30:00.000","sncb"
45594,"1970-01-02 05:35:00.000","swiss"
733,"1970-01-02 05:35:00.000","ter"
4442,"1970-01-02 05:35:00.000","uk"
185,"1970-01-02 05:35:00.000","tgv"
627,"1970-01-02 05:35:00.000","sncb"
269,"1970-01-02 05:35:00.000","intercites"
723,"1970-01-02 05:40:00.000","sncb"
225,"1970-01-02 05:40:00.000","tgv"
851,"1970-01-02 05:40:00.000","ter"
4690,"1970-01-02 05:40:00.000","uk"
269,"1970-01-02 05:40:00.000","intercites"
46838,"1970-01-02 05:40:00.000","swiss"
783,"1970-01-02 05:45:00.000","sncb"
269,"1970-01-02 05:45:00.000","intercites"
47351,"1970-01-02 05:45:00.000","swiss"
5291,"1970-01-02 05:45:00.000","uk"
979,"1970-01-02 05:45:00.000","ter"
244,"1970-01-02 05:45:00.000","tgv"
302,"1970-01-02 05:50:00.000","tgv"
1107,"1970-01-02 05:50:00.000","ter"
5813,"1970-01-02 05:50:00.000","uk"
48538,"1970-01-02 05:50:00.000","swiss"
850,"1970-01-02 05:50:00.000","sncb"
270,"1970-01-02 05:50:00.000","intercites"
6236,"1970-01-02 05:55:00.000","uk"
1242,"1970-01-02 05:55:00.000","ter"
48947,"1970-01-02 05:55:00.000","swiss"
341,"1970-01-02 05:55:00.000","tgv"
272,"1970-01-02 05:55:00.000","intercites"
917,"1970-01-02 05:55:00.000","sncb"
275,"1970-01-02 06:00:00.000","intercites"
987,"1970-01-02 06:00:00.000","sncb"
475,"1970-01-02 06:00:00.000","tgv"
49394,"1970-01-02 06:00:00.000","swiss"
6811,"1970-01-02 06:00:00.000","uk"
1398,"1970-01-02 06:00:00.000","ter"
7346,"1970-01-02 06:05:00.000","uk"
1653,"1970-01-02 06:05:00.000","ter"
51303,"1970-01-02 06:05:00.000","swiss"
552,"1970-01-02 06:05:00.000","tgv"
1118,"1970-01-02 06:05:00.000","sncb"
275,"1970-01-02 06:05:00.000","intercites"
282,"1970-01-02 06:10:00.000","intercites"
1275,"1970-01-02 06:10:00.000","sncb"
7730,"1970-01-02 06:10:00.000","uk"
1840,"1970-01-02 06:10:00.000","ter"
52322,"1970-01-02 06:10:00.000","swiss"
602,"1970-01-02 06:10:00.000","tgv"
282,"1970-01-02 06:15:00.000","intercites"
1377,"1970-01-02 06:15:00.000","sncb"
701,"1970-01-02 06:15:00.000","tgv"
8280,"1970-01-02 06:15:00.000","uk"
2011,"1970-01-02 06:15:00.000","ter"
52650,"1970-01-02 06:15:00.000","swiss"
749,"1970-01-02 06:20:00.000","tgv"
8843,"1970-01-02 06:20:00.000","uk"
2220,"1970-01-02 06:20:00.000","ter"
53954,"1970-01-02 06:20:00.000","swiss"
284,"1970-01-02 06:20:00.000","intercites"
1535,"1970-01-02 06:20:00.000","sncb"
287,"1970-01-02 06:25:00.000","intercites"
1592,"1970-01-02 06:25:00.000","sncb"
797,"1970-01-02 06:25:00.000","tgv"
9266,"1970-01-02 06:25:00.000","uk"
2362,"1970-01-02 06:25:00.000","ter"
53638,"1970-01-02 06:25:00.000","swiss"
306,"1970-01-02 06:30:00.000","intercites"
1639,"1970-01-02 06:30:00.000","sncb"
