"start_lat","start_lon","finish_lat","finish_lon","speed","count"
-23.285,-46.742,-23.235,-46.768,45.648965183474964,2
47.899,13.13,47.919,13.159,62.44981525640153,31
47.033,15.406,47.051,15.402,60.746171370640305,126
42.779,26.907,42.802,26.876,35.56337368393381,5
19.148,77.51,19.214,77.667,57.01410446984451,6
54.093,13.37,54.201,13.197,99.46100567161992,16
22.316,88.46,22.347,88.435,64.21009123831426,18
51.448,0.178,51.465,0.16,19.124508228451997,219
-33.801,150.956,-33.787,150.952,51.146687922748136,254
45.78,4.804,45.875,4.833,72.03424201654667,3
56.024,12.728,56.044,12.694,45.62986502326485,17
60.258,17.636,60.345,17.514,101.12149740538877,138
38.891,-6.982,38.922,-6.344,110.88802051375049,7
49.726,8.609,49.76,8.603,75.59492504344313,35
49.578,20.781,49.593,20.829,46.41547268203419,4
22.111,76.151,22.176,76.075,45.63091890034392,4
50.531,5.573,50.54,5.574,62.59688625456966,239
47.575,9.613,47.653,9.473,67.91188861433267,1
59.966,10.783,60.058,10.865,56.108827782788886,26
26.81,92.575,26.821,92.682,62.36164635606547,20
49.024,8.648,49.037,8.673,69.76055720201455,147
21.746,70.282,21.849,70.236,67.46539193837341,6
63.414,10.409,63.419,10.383,28.63448871192691,6
41.095,-73.87,41.136,-73.866,68.18253086933976,98
47.835,16.459,47.869,16.381,69.57407454650767,13
51.138,6.447,51.163,6.44,83.93341159031172,161
37.523,15.108,37.53,15.11,23.84998167153745,111
53.43,-2.992,53.441,-2.981,43.97898856345455,197
57.206,-2.193,57.287,-2.374,70.74770986331693,6
22.696,88.28,22.722,88.265,98.59510785698161,69
46.122,8.352,46.129,8.42,22.791267489897553,10
52.131,11.626,52.252,10.54,104.79525389556649,123
40.958,-1.269,41.009,-1.255,35.155417857787526,4
47.316,24.693,47.369,24.741,52.230493561198934,10
49.012,12.1,49.445,11.082,100.10015764393071,34
49.466,8.193,49.489,8.211,83.32601480743203,77
20.035,79.187,20.085,79.113,63.67116020405167,2
18.974,76.756,19.257,76.774,61.32521194466378,23
12.529,76.897,12.659,77.203,72.39635320637787,2
53.788,-3.054,53.798,-3.049,35.619809659730436,52
22.608,77.767,22.943,79.214,77.70442608134475,2
50.287,2.781,50.372,3.09,119.56066097998266,195
29.239,76.551,29.308,76.371,60.09699789448071,2
57.144,-2.099,57.206,-2.193,76.85550733344418,105
8.302,77.218,8.324,77.21,38.823235054411406,9
52.582,-1.134,52.631,-1.125,65.85816423391401,113
59.909,10.759,59.951,10.885,36.41736050173476,184
52.735,13.087,52.738,13.08,35.611431525522825,2
21.768,79.802,21.784,79.872,88.8684286266099,16
44.521,26.01,44.567,26.067,54.97683478352792,24
44.232,22.016,44.257,22.002,44.577425675357425,4
42.461,-5.498,42.596,-5.582,76.20590192091805,6
46.221,15.322,46.228,15.268,63.12361142669603,61
25.334,83.014,25.376,83.033,41.45744164515798,26
