"start_lat","start_lon","finish_lat","finish_lon","avg_speed_kmh","count"
48.99,1.703,49.449,1.094,94.57335861198779,2
43.292,-0.37,43.72,-1.05,94.94794597588017,3
48.544,-1.751,48.647,-2.004,95.35977784001182,5
48.454,-4.257,48.578,-3.833,95.6187724409398,2
48.104,-1.673,48.123,-1.212,95.89947606210563,5
48.249,7.773,48.341,7.835,95.9099829376888,1
50.416,1.648,50.517,1.643,96.0721776891048,3
45.761,4.859,46.303,4.825,96.74943688585347,6
42.696,2.879,43.191,3.006,97.28176973421927,13
50.287,2.781,50.372,3.09,97.7877516558455,13
48.388,-4.48,48.578,-3.833,97.8364197204361,11
50.725,2.541,51.03,2.369,98.29218019171161,9
47.665,-2.752,48.104,-1.673,98.38116899003386,11
43.317,3.466,43.413,3.697,99.089675442522,9
43.424,6.769,43.456,6.482,99.27181240032542,5
46.67,0.377,46.819,0.549,99.33686133042676,5
48.249,7.773,48.476,7.947,100.20109913509964,1
43.336,3.219,43.413,3.697,100.50370263376092,4
47.652,-2.088,48.104,-1.673,101.24334144472685,6
47.96,-3.833,47.994,-4.092,101.67749733458044,6
47.585,6.898,47.743,7.343,101.97324658060501,22
48.69,6.175,48.738,7.053,102.40422621475416,1
43.72,-1.05,44.826,-0.557,102.73403761131487,19
47.323,5.027,47.619,4.336,102.8506887264669,9
50.287,2.781,50.637,3.07,103.46864445760313,2
43.413,3.697,43.595,3.924,104.38462444774606,7
46.303,4.825,47.023,4.848,104.4880447670755,2
47.756,-3.366,47.869,-3.553,104.49796192065884,6
46.582,0.333,46.819,0.549,104.60454122039647,5
43.685,4.632,43.942,4.805,105.25905148415843,4
43.191,3.006,43.336,3.219,105.2705926420248,19
43.413,3.697,43.605,3.881,105.95457445760744,6
45.761,4.859,47.023,4.848,106.58033885491197,2
44.014,1.341,44.208,0.621,106.58310764269139,6
48.578,-3.833,48.606,-3.467,106.90461705534551,4
49.26,4.024,49.504,4.37,107.24000918887954,4
47.869,-3.553,47.96,-3.833,107.47867590745268,6
47.217,-1.542,47.369,-1.178,107.72282499933466,2
47.096,5.488,47.323,5.027,107.79753424735654,6
48.388,-4.48,48.556,-3.143,107.79873161719436,1
45.761,4.859,46.782,4.843,108.0951643318706,1
47.023,4.848,47.323,5.027,108.12974731471908,4
43.292,-0.37,43.484,-0.768,108.90696020384691,6
47.68,-2.999,47.756,-3.366,108.97789603943748,16
46.782,4.843,47.323,5.027,109.10940106033514,1
46.113,-0.762,46.319,-0.455,109.47922288568655,12
43.605,3.881,43.832,4.366,109.78357812609951,31
48.718,4.588,48.774,5.167,110.01597272789411,2
47.756,-3.366,47.994,-4.092,110.26108725112361,12
48.585,7.734,48.69,6.175,110.90171088017792,2
47.665,-2.752,47.68,-2.999,111.06624690583872,16
47.386,0.724,47.465,-0.557,111.26845331787544,3
43.191,3.006,43.218,2.352,112.09069042159287,6
45.761,4.859,47.323,5.027,112.09081150939996,3
47.096,5.488,47.247,6.022,112.1896522511011,6
48.388,-4.48,48.508,-2.765,112.6219416431246,4
48.556,-3.143,48.606,-3.467,113.25176422922759,4
50.287,2.781,50.639,3.076,113.53337476513978,17
48.955,4.349,49.215,3.995,114.04796531027597,2
48.556,-3.143,48.578,-3.833,114.36926602037461,8
48.26,7.443,48.585,7.734,115.01821122574016,2
44.137,4.82,44.559,4.745,115.20328958932996,5
44.916,-0.236,45.654,0.165,115.5069134216434,6
47.743,7.343,48.585,7.734,115.72776337154906,3
47.269,-0.071,47.386,0.724,115.7396202941641,2
48.104,-1.673,48.466,-2.512,116.38682450593201,6
48.87,2.783,49.004,2.571,116.43702009185665,47
48.104,-1.673,48.508,-2.765,116.71408237418377,11
48.076,-0.761,48.123,-1.212,117.24223442819277,5
48.508,-2.765,48.556,-3.143,117.93879439226637,14
43.128,5.929,43.922,4.786,117.93879675432619,2
46.303,4.825,47.323,5.027,117.99456443991025,4
48.466,-2.512,48.508,-2.765,118.31318937678111,6
44.559,4.745,44.928,4.893,118.60438274720416,5
48.718,4.588,48.955,4.349,118.82915808075677,2
47.269,-0.071,47.465,-0.557,119.03259250213313,2
48.074,7.348,48.26,7.443,119.43512163408359,2
