network,resolution,city,fold,family,cpu_ms,wall_ms,gc_ms,compile_ms,rss_bytes,external_cores,workers,reused_workers,output_bytes,url
everything,5,Vienna,train,2,2.008999999986827,0.782616,0,0,20758974464,0,1,1,610,/reachable?network=everything&index=851e15b7fffffff&departure_h=17&budget_h=0.0&max_walk_h=0.1&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=0&exclude_origin_population=true
everything,5,Vienna,train,3,1816.1020000000008,569.198021,0,0,20758978560,2.9583693861788727,3,3,17210,/reachable?network=everything&index=851e15b7fffffff&departure_h=8&budget_h=6.0&max_walk_h=0.1&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=18&exclude_origin_population=false&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=max_intersection
everything,5,Vienna,train,3,3.8269999999727133,1.033746,0,0,20758978560,0,1,1,810,/reachable?network=everything&index=851e15b7fffffff&departure_h=17&budget_h=0.25&max_walk_h=0.5&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=1&exclude_origin_population=true&window_h=0.03333333333333333&step_h=0.016666666666666666&window_mode=diff_union
everything,5,rural,train,0,1.9069999999885567,0.7354660000000001,0,0,20758978560,0,1,0,4954,/reachable?network=everything&index=851fb003fffffff&departure_h=8&budget_h=1.0&max_walk_h=1.0&metric=time&encoding=split&distance_mode=itinerary
everything,5,rural,train,0,8.772999999990816,6.475662,0,0,20758978560,1.7337223620744313,1,0,193474,/reachable?network=everything&index=851fb003fffffff&departure_h=17&budget_h=6.0&max_walk_h=0.0&metric=time_distance_quantile&encoding=string&distance_mode=straight_line
everything,5,rural,train,1,83.55099999999993,56.737218,0,0,20759121920,2.757431638447392,2,0,139274,/reachable?network=everything&index=851fb003fffffff&departure_h=8&budget_h=3.0&max_walk_h=0.0&metric=time&encoding=split&distance_mode=itinerary&window_h=13.02&step_h=0.06&window_mode=diff_union
everything,5,rural,train,1,1.8640000000118562,0.738649,0,0,20759134208,0,3,0,2018,/reachable?network=everything&index=851fb003fffffff&departure_h=17&budget_h=0.0&max_walk_h=0.1&metric=time_distance_quantile&encoding=string&distance_mode=straight_line&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=diff_intersection
everything,5,rural,train,2,819.3019999999933,252.33798000000002,0,0,20759334912,2.697564591743211,3,3,16730,/reachable?network=everything&index=851fb003fffffff&departure_h=8&budget_h=6.0&max_walk_h=0.1&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=18&exclude_origin_population=false
everything,5,rural,train,2,1.821000000006734,0.7054239999999999,0,0,20759334912,0,1,1,786,/reachable?network=everything&index=851fb003fffffff&departure_h=17&budget_h=0.25&max_walk_h=0.5&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=1&exclude_origin_population=true
everything,5,rural,train,3,18.963000000013608,5.01297,0,0,20759334912,2.2016888247737505,1,1,794,/reachable?network=everything&index=851fb003fffffff&departure_h=8&budget_h=0.0&max_walk_h=0.5&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=0&exclude_origin_population=false&window_h=0.03333333333333333&step_h=0.016666666666666666&window_mode=diff_union
