city,res,origins,variant,bias,wmae,abs_relative_p95,min_signed,max_signed
Vienna,6,1027,free,314738.0701071081,0.1464429895523091,0.24754550170790512,0.0,2.162061e6
Vienna,6,1027,scalar,-9932.955209347614,0.0341131447342133,0.0724400461440397,-389580.0,1.375878e6
Vienna,6,1027,batched,-9932.955209347614,0.0341131447342133,0.0724400461440397,-389580.0,1.375878e6
Salzburg,6,1027,free,146397.4858812074,0.8551350343566425,13.39460295432412,0.0,407843.0
Salzburg,6,1027,scalar,34421.9688412853,0.26880372953224324,3.899762938664196,-185496.0,267239.0
Salzburg,6,1027,batched,34421.9688412853,0.26880372953224324,3.899762938664196,-185496.0,267239.0
Vienna,7,1027,free,113489.18111002921,0.05280484486017309,0.08105120975244237,0.0,1.452128e6
Vienna,7,1027,scalar,-211804.55014605648,0.0986751971322987,0.24325097031540568,-1.262925e6,41622.0
Vienna,7,1027,batched,-211804.55014605648,0.0986751971322987,0.24325097031540568,-1.262925e6,41622.0
Salzburg,7,1027,free,41513.97857838364,0.24249089582530906,2.8195920481458794,0.0,228793.0
Salzburg,7,1027,scalar,-27025.157740993185,0.18068863324423487,0.49815648306970506,-162122.0,80259.0
Salzburg,7,1027,batched,-27025.157740993185,0.18068863324423487,0.49815648306970506,-162122.0,80259.0
