city,res,origins,samples,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,external_cores,shared,separate
Vienna,7,1027,96,batched,2,4.625722624,30.905598000000055,171366400,0.0,0.0,7121887232,0.9997145042632521,17362806,106059697
Vienna,7,1027,96,fine,2,10.305349645,71.38434099999995,150761416,0.0,0.0,7122550784,0.8719412062214794,44959930,435833812
Vienna,7,1027,96,free,2,3.130014747,21.733192000000145,76133864,0.0,0.0,7122571264,0.9063241643406329,16789767,215661833
Vienna,7,1027,96,free,3,3.24360785,21.553700000000163,76138328,0.0,0.0,7122579456,0.8990914237588548,16789767,215661833
Vienna,7,1027,96,scalar,3,15.177397473,96.55514199999993,182714776,0.0,0.0,7124078592,1.0762621212940569,106459406,106459406
Vienna,7,1027,96,batched,3,4.72730691,30.90035899999998,171348848,0.0,0.0,7124090880,1.0364550246742041,17362806,106059697
Vienna,7,1027,96,fine,3,10.376241032,71.47559799999999,150761416,0.0,0.0,7124103168,0.8234583192186814,44959930,435833812
Salzburg,7,1027,96,fine,0,4.418389441,28.440997000000152,133822024,0.0,0.0,7226142720,0.7443895663567472,21104244,191556889
Salzburg,7,1027,96,free,0,1.65379022,10.986233999999968,68866944,0.0,0.0,7106899968,0.8246305870503632,9410511,96978773
Salzburg,7,1027,96,scalar,0,5.122237406,28.874950999999783,126617032,0.0,0.0,7106236416,0.8931739467199641,36112501,36112501
Salzburg,7,1027,96,batched,0,1.612667725,9.706784999999854,161041200,0.0,0.0,7106220032,0.8205131035459181,6682854,36006719
Salzburg,7,1027,96,batched,1,1.627354139,9.704339999999775,161456648,0.0,0.0,7106088960,0.9620892972100872,6682854,36006719
Salzburg,7,1027,96,fine,1,4.342733689,28.25150799999983,133602208,0.0,0.0,7106461696,0.7595427756220213,21104244,191556889
Salzburg,7,1027,96,free,1,1.690992726,10.98257700000022,68866944,0.0,0.0,7106412544,0.8973563142339506,9410511,96978773
Salzburg,7,1027,96,scalar,1,5.308293509,29.10155199999963,126617032,0.0,0.0,7106424832,1.0829182656059313,36112501,36112501
Salzburg,7,1027,96,scalar,2,5.256668427,28.96177200000011,127178984,0.0,0.0,7106433024,1.0554647067704024,36112501,36112501
Salzburg,7,1027,96,batched,2,1.582869922,9.621674999999868,161264448,0.0,0.0,7106433024,0.8391877194022299,6682854,36006719
Salzburg,7,1027,96,fine,2,4.456808783,28.339728999999807,133822024,0.0,0.0,7106433024,0.9379516159292233,21104244,191556889
Salzburg,7,1027,96,free,2,1.66591472,10.87350000000015,68866944,0.0,0.0,7106433024,0.8983052865966598,9410511,96978773
Salzburg,7,1027,96,free,3,1.675405917,10.973586000000068,68866944,0.0,0.0,7106433024,0.9409146667389368,9410511,96978773
Salzburg,7,1027,96,scalar,3,5.310454161,29.035417000000052,127178984,0.0,0.0,7106441216,1.1363591167744458,36112501,36112501
Salzburg,7,1027,96,batched,3,1.658917907,9.774741999999605,161075976,0.0,0.0,7106461696,1.0641020828028518,6682854,36006719
Salzburg,7,1027,96,fine,3,4.585888847,28.308232000000316,134169320,0.0,0.0,7106461696,1.0427134541420968,21104244,191556889
