city,res,origins,departure,budget,samples,mode,exclude,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,expansions
Vienna,7,127,28800000,10800000,1,mean_intersection,false,free,0,0.014721864,0.028626999999914915,9930160,0.0,0.0,6977425408,773598
Vienna,7,127,28800000,10800000,1,mean_intersection,false,walking,0,0.199740292,0.37976800000001276,15235576,0.0,0.0,6977425408,378855
Vienna,7,127,28800000,10800000,1,mean_intersection,false,walking,1,0.199626935,0.38203900000007707,15235576,0.0,0.0,6977429504,378855
Vienna,7,127,28800000,10800000,1,mean_intersection,false,fine,1,0.12785079,0.24485100000015336,49318328,0.0,0.0,6980276224,1419819
Vienna,7,127,28800000,10800000,1,mean_intersection,false,free,1,0.019403441,0.03372699999999895,9930160,0.0,0.0,6980481024,773598
Vienna,7,127,28800000,10800000,1,mean_intersection,false,free,2,0.020377638,0.03657599999996819,9930160,0.0,0.0,6980739072,773598
Vienna,7,127,28800000,10800000,1,mean_intersection,false,walking,2,0.200233139,0.3843960000001516,15235576,0.0,0.0,6980739072,378855
Vienna,7,127,28800000,10800000,1,mean_intersection,false,fine,2,0.164923385,0.3234709999999268,49318328,0.0,0.0,6980739072,1419819
Vienna,7,127,28800000,10800000,1,mean_intersection,false,fine,3,0.138036573,0.25801700000010896,49318328,0.0,0.0,6982672384,1419819
Vienna,7,127,28800000,10800000,1,mean_intersection,false,free,3,0.021875785,0.034522999999808235,9930160,0.0,0.0,6982672384,773598
Vienna,7,127,28800000,10800000,1,mean_intersection,false,walking,3,0.202308829,0.37700599999993756,15235576,0.0,0.0,6982672384,378855
Vienna,7,127,84600000,21600000,96,mean_intersection,true,fine,0,5.18514695,10.095203000000083,49149872,0.0,0.662099451,6983360512,108552534
Vienna,7,127,84600000,21600000,96,mean_intersection,true,free,0,1.595540514,3.066238999999996,20875472,0.0,0.195215655,6983372800,45773557
Vienna,7,127,84600000,21600000,96,mean_intersection,true,walking,0,16.060093089,31.64141900000004,74130184,0.0,0.551074408,6986018816,35391059
Vienna,7,127,84600000,21600000,96,mean_intersection,true,walking,1,15.794798542,31.181871999999885,66669576,0.0,0.0,6987407360,35391059
Vienna,7,127,84600000,21600000,96,mean_intersection,true,fine,1,4.882093255,9.51656099999991,37570752,0.0,0.0,6987415552,108552534
Vienna,7,127,84600000,21600000,96,mean_intersection,true,free,1,1.480096157,2.9380439999999908,19033816,0.0,0.0,6987415552,45773557
Vienna,7,127,84600000,21600000,96,mean_intersection,true,free,2,1.50666785,2.925709999999981,19033816,0.0,0.0,6987415552,45773557
Vienna,7,127,84600000,21600000,96,mean_intersection,true,walking,2,16.023095499,31.626170000000002,66669576,0.0,0.0,6987476992,35391059
Vienna,7,127,84600000,21600000,96,mean_intersection,true,fine,2,4.897679784,9.51789800000006,37570752,0.0,0.0,6987481088,108552534
Vienna,7,127,84600000,21600000,96,mean_intersection,true,fine,3,5.013829846,9.64677400000005,37570752,0.0,0.0,6987526144,108552534
Vienna,7,127,84600000,21600000,96,mean_intersection,true,free,3,1.55139337,3.0418009999998503,19033816,0.0,0.0,6987526144,45773557
Vienna,7,127,84600000,21600000,96,mean_intersection,true,walking,3,15.676159534,31.161922999999888,66669576,0.0,0.0,6988267520,35391059
Vienna,7,127,72000000,10800000,96,reachable_union,false,fine,0,2.9131699,5.602992000000086,33799528,0.0,0.0,7003140096,64753729
Vienna,7,127,72000000,10800000,96,reachable_union,false,free,0,0.743623293,1.4488770000000386,17149352,0.0,0.0,7003140096,30055620
Vienna,7,127,72000000,10800000,96,reachable_union,false,walking,0,6.321255609,12.209390999999869,35859048,0.0,0.0,7003152384,16928388
Vienna,7,127,72000000,10800000,96,reachable_union,false,walking,1,6.432094165,12.298535000000129,35859048,0.0,0.0,7003152384,16928388
Vienna,7,127,72000000,10800000,96,reachable_union,false,fine,1,2.60712527,5.0429350000001705,33799528,0.0,0.0,7003160576,64753729
Vienna,7,127,72000000,10800000,96,reachable_union,false,free,1,0.762457932,1.4922570000001087,17149352,0.0,0.0,7003160576,30055620
Vienna,7,127,72000000,10800000,96,reachable_union,false,free,2,0.775503182,1.520620000000008,17149352,0.0,0.0,7003160576,30055620
Vienna,7,127,72000000,10800000,96,reachable_union,false,walking,2,6.631484597,12.816546000000017,35859048,0.0,0.0,7003160576,16928388
Vienna,7,127,72000000,10800000,96,reachable_union,false,fine,2,2.616142672,5.131032000000005,33799528,0.0,0.0,7003160576,64753729
Vienna,7,127,72000000,10800000,96,reachable_union,false,fine,3,2.672822531,5.257955000000038,33799528,0.0,0.0,7003160576,64753729
Vienna,7,127,72000000,10800000,96,reachable_union,false,free,3,0.812564677,1.5748550000000705,17149352,0.0,0.0,7003295744,30055620
Vienna,7,127,72000000,10800000,96,reachable_union,false,walking,3,6.695496987,12.980945999999904,35859048,0.0,0.0,7003295744,16928388
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,fine,0,0.070219518,0.12996100000009392,29450208,0.0,0.0,7003807744,1167731
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,free,0,0.014714806,0.029023999999935768,14668912,0.0,0.0,7003807744,486103
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,walking,0,0.125047244,0.2441360000000259,20623408,0.0,0.0,7003807744,278746
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,walking,1,0.143094802,0.2756259999998747,20623408,0.0,0.0,7003807744,278746
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,fine,1,0.064953318,0.12193200000001525,29450208,0.0,0.0,7003807744,1167731
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,free,1,0.01539499,0.026894999999967695,14668912,0.0,0.0,7003807744,486103
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,free,2,0.020471994,0.03820199999995566,14668912,0.0,0.0,7003811840,486103
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,walking,2,0.133827046,0.261257999999998,20623408,0.0,0.0,7003811840,278746
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,fine,2,0.075084822,0.14670299999988856,29450208,0.0,0.0,7003811840,1167731
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,fine,3,0.074501494,0.1322429999997894,29450208,0.0,0.0,7003811840,1167731
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,free,3,0.021051139,0.040934999999990396,14668912,0.0,0.0,7003992064,486103
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,walking,3,0.122803022,0.2326869999999417,20623408,0.0,0.0,7004053504,278746
Vienna,6,127,28800000,10800000,4,mean_intersection,false,fine,0,0.152001072,0.284746000000041,33592464,0.0,0.0,7083024384,3785567
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,0,0.024162687,0.04043000000001484,9187800,0.0,0.0,7084744704,664274
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,0,0.683093241,1.3110670000000937,33488728,0.0,0.0,7097552896,685123
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,0,0.243329004,0.4377269999999953,19700624,0.0,0.0,7104000000,268432
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,0,0.282701845,0.5270150000001195,19718928,0.0,0.0,7114661888,377725
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,1,0.27436225,0.5171020000000226,19718928,0.0,0.0,7125065728,377725
Vienna,6,127,28800000,10800000,4,mean_intersection,false,fine,1,0.187061803,0.3241239999999834,33592464,0.0,0.0,7127740416,3785567
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,1,0.023175278,0.04066999999986365,9187800,0.0,0.0,7128551424,664274
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,1,0.687780732,1.3293989999999667,33488728,0.0,0.0,6965157888,685123
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,1,0.216468163,0.4266099999999824,19700624,0.0,0.0,6947426304,268432
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,2,0.228407517,0.43303199999991193,19700624,0.0,0.0,6948077568,268432
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,2,0.273037613,0.5223889999999756,19718928,0.0,0.0,6948868096,377725
Vienna,6,127,28800000,10800000,4,mean_intersection,false,fine,2,0.155474659,0.2948149999999714,33592464,0.0,0.0,6949085184,3785567
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,2,0.020199379,0.0373819999999796,9187800,0.0,0.0,6949134336,664274
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,2,0.679038616,1.3180919999999787,33488728,0.0,0.0,6949113856,685123
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,3,0.700253745,1.319872999999916,33488728,0.0,0.0,6950096896,685123
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,3,0.220251829,0.4322820000002139,19700624,0.0,0.0,6951354368,268432
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,3,0.274450641,0.5181860000000142,19718928,0.0,0.0,6951849984,377725
Vienna,6,127,28800000,10800000,4,mean_intersection,false,fine,3,0.163576386,0.2889140000002044,33592464,0.0,0.0,6951866368,3785567
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,3,0.018182535,0.03428600000006554,9187800,0.0,0.0,6951874560,664274
Vienna,6,127,28800000,10800000,96,mean_intersection,false,fine,0,2.849745187,5.545307999999977,35344008,0.0,0.0,6926905344,64846166
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,0,0.348480224,0.6847859999998036,9516952,0.0,0.0,6926905344,10666728
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,0,3.212979926,6.1735150000001795,25064200,0.0,0.0,6927396864,4575268
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,1,3.121739292,6.102540999999974,25064200,0.0,0.0,6928044032,4575268
