res,origin,departure,budget,fp_cells,fn_cells,fp_population,fn_population
6,881e15b5e3fffff,28800000,10800000,344,12559,14233.0,2.033829e6
6,881e15b6b1fffff,28800000,10800000,162,12287,6056.0,1.585818e6
6,881e15b76dfffff,28800000,10800000,774,11181,155196.0,1.154228e6
6,881e064c03fffff,28800000,21600000,398,14046,5119.0,1.395901e6
6,881e064d1dfffff,28800000,21600000,1422,12971,97039.0,892318.0
6,881e066927fffff,28800000,21600000,556,22141,96686.0,1.459065e6
6,881e067905fffff,28800000,21600000,370,19696,4580.0,2.326875e6
6,881e0679d5fffff,28800000,21600000,728,17850,35268.0,1.29146e6
6,881e15a213fffff,28800000,21600000,385,17991,69282.0,1.605469e6
6,881e15a2d1fffff,28800000,21600000,221,22625,67791.0,2.091123e6
6,881e15a639fffff,28800000,21600000,556,22128,96686.0,1.459007e6
6,881e15a767fffff,28800000,21600000,893,24596,55751.0,1.897997e6
6,881e15b0d5fffff,28800000,21600000,767,16284,81332.0,2.001548e6
6,881e15b299fffff,28800000,21600000,897,12706,83898.0,1.217933e6
6,881e15b457fffff,28800000,21600000,262,18245,68307.0,1.767636e6
6,881e15b525fffff,28800000,21600000,490,14793,70487.0,1.424001e6
6,881e15b5e3fffff,28800000,21600000,81,31186,65405.0,3.124808e6
6,881e15b6b1fffff,28800000,21600000,173,23446,3246.0,2.928426e6
6,881e15b76dfffff,28800000,21600000,715,14259,79923.0,1.946344e6
6,881e064c03fffff,84600000,10800000,1080,2514,92930.0,682825.0
6,881e064d1dfffff,84600000,10800000,324,908,30244.0,227581.0
6,881e066927fffff,84600000,10800000,471,2842,35231.0,828254.0
6,881e067905fffff,84600000,10800000,1445,2420,149199.0,537919.0
6,881e0679d5fffff,84600000,10800000,316,1373,30272.0,420306.0
6,881e15a213fffff,84600000,10800000,957,3785,104460.0,770566.0
6,881e15a2d1fffff,84600000,10800000,394,3305,29635.0,887708.0
6,881e15a639fffff,84600000,10800000,471,2842,35493.0,828254.0
6,881e15a767fffff,84600000,10800000,492,2368,49832.0,742489.0
6,881e15b0d5fffff,84600000,10800000,1446,3121,182525.0,561065.0
6,881e15b299fffff,84600000,10800000,1288,2390,148169.0,556538.0
6,881e15b457fffff,84600000,10800000,1351,3287,130422.0,598411.0
6,881e15b525fffff,84600000,10800000,1344,4680,176333.0,946145.0
6,881e15b5e3fffff,84600000,10800000,339,5640,24707.0,1.321777e6
6,881e15b6b1fffff,84600000,10800000,421,5083,30438.0,1.244885e6
6,881e15b76dfffff,84600000,10800000,1852,2643,216931.0,513226.0
6,881e064c03fffff,84600000,21600000,1853,5153,99435.0,928531.0
6,881e064d1dfffff,84600000,21600000,1163,2815,80803.0,360351.0
6,881e066927fffff,84600000,21600000,2144,5647,143532.0,1.055372e6
6,881e067905fffff,84600000,21600000,2828,7314,215576.0,1.248143e6
6,881e0679d5fffff,84600000,21600000,1152,2804,68190.0,378183.0
6,881e15a213fffff,84600000,21600000,2448,8047,190091.0,1.533511e6
6,881e15a2d1fffff,84600000,21600000,1297,6441,58980.0,1.335529e6
6,881e15a639fffff,84600000,21600000,2143,5647,143289.0,1.055372e6
6,881e15a767fffff,84600000,21600000,1303,5156,79553.0,926341.0
6,881e15b0d5fffff,84600000,21600000,3607,4122,358712.0,442623.0
6,881e15b299fffff,84600000,21600000,2734,6924,211183.0,1.223133e6
6,881e15b457fffff,84600000,21600000,3386,7071,259447.0,1.22108e6
6,881e15b525fffff,84600000,21600000,3398,7889,344981.0,1.448316e6
6,881e15b5e3fffff,84600000,21600000,1897,11096,113706.0,2.29518e6
6,881e15b6b1fffff,84600000,21600000,1396,11077,60940.0,2.423358e6
6,881e15b76dfffff,84600000,21600000,3881,4039,365035.0,470605.0
7,881e14db65fffff,28800000,10800000,4,7433,817.0,1.69831e6
7,881f8932d7fffff,28800000,10800000,412,2679,68457.0,242006.0
7,881f89a0a1fffff,28800000,10800000,358,3911,62970.0,323519.0
7,881f89a15dfffff,28800000,10800000,159,3903,18669.0,620544.0
