city,radius,origins,samples,mode,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss_bytes,external_cores,shared,independent,zero_mismatches,max_abs_error,relative_p95,relative_max,mean_population
Vienna,6,127,1,mean_intersection,production,3,0.134721445,0.26104000000009364,49321368,0.0,0.0,4827504640,2.7386879646708286,60131,1419819,0,0.0,0.0,0.0,5.503276338582677e6
Vienna,6,127,4,mean_intersection,production,0,0.561722697,3.0436039999999593,266722232,0.0,0.0,4893663232,2.254486077951591,417325,5981122,0,0.0,0.0,0.0,4.991509133858268e6
Vienna,6,127,4,mean_intersection,fine_access,0,0.498441289,3.110212000000047,284371168,0.0,0.0,4954832896,0.48107571620754197,431304,6146021,0,0.0,0.0,0.0,4.991509133858268e6
Vienna,6,127,4,mean_intersection,fine_access,1,0.447661372,3.145407999999861,284371168,0.0,0.0,4794507264,0.43468570696232084,431304,6146021,0,0.0,0.0,0.0,4.991509133858268e6
Vienna,6,127,4,mean_intersection,production,1,0.502940677,3.0911069999999654,266722232,0.0,0.0,4805877760,0.6539399477563914,417325,5981122,0,0.0,0.0,0.0,4.991509133858268e6
Vienna,6,127,4,mean_intersection,production,2,0.437300869,3.1264639999999417,266722232,0.0,0.0,4769861632,0.3739667846873084,417325,5981122,0,0.0,0.0,0.0,4.991509133858268e6
Vienna,6,127,4,mean_intersection,fine_access,2,0.450143247,3.1252779999999802,284371168,0.0,0.0,4806656000,0.4325778546339324,431304,6146021,0,0.0,0.0,0.0,4.991509133858268e6
Vienna,6,127,4,mean_intersection,fine_access,3,0.442093798,3.144326000000092,284371168,0.0,0.0,4797923328,0.4199877962504206,431304,6146021,0,0.0,0.0,0.0,4.991509133858268e6
Vienna,6,127,4,mean_intersection,production,3,0.447680283,3.12475500000005,266722232,0.0,0.0,4817227776,0.5478128238122412,417325,5981122,0,0.0,0.0,0.0,4.991509133858268e6
Salzburg,6,127,96,mean_intersection,production,0,1.087987512,7.5956780000001345,64045104,0.0,0.0,4778139648,0.5094929803046752,7642504,38239550,0,0.0,0.0,0.0,355203.0787401575
Salzburg,6,127,96,mean_intersection,fine_access,0,1.079919101,7.761758999999984,71301104,0.0,0.0,4561498112,0.3965491484941676,7909277,40253428,0,0.0,0.0,0.0,355203.0787401575
Salzburg,6,127,96,mean_intersection,fine_access,1,1.124351847,7.711461999999983,71301104,0.0,0.0,4527935488,0.44340034775854636,7909277,40253428,0,0.0,0.0,0.0,355203.0787401575
Salzburg,6,127,96,mean_intersection,production,1,1.087677165,7.567500999999993,64045104,0.0,0.0,4527824896,0.46199278263343857,7642504,38239550,0,0.0,0.0,0.0,355203.0787401575
Salzburg,6,127,96,mean_intersection,production,2,1.058629106,7.655438000000004,64045104,0.0,0.0,4529184768,0.41049504260220104,7642504,38239550,0,0.0,0.0,0.0,355203.0787401575
Salzburg,6,127,96,mean_intersection,fine_access,2,1.200583274,7.7235749999999825,71301104,0.0,0.0,4530577408,0.5134379374732329,7909277,40253428,0,0.0,0.0,0.0,355203.0787401575
Salzburg,6,127,96,mean_intersection,fine_access,3,1.101945127,7.7214120000001,71301104,0.0,0.0,4530577408,0.4796863174475472,7909277,40253428,0,0.0,0.0,0.0,355203.0787401575
Salzburg,6,127,96,mean_intersection,production,3,1.160543783,7.680299000000105,64045104,0.0,0.0,4530577408,0.6890743906537168,7642504,38239550,0,0.0,0.0,0.0,355203.0787401575
Salzburg,18,1027,96,mean_intersection,production,0,6.388085852,44.41889500000002,79493176,0.0,0.0,4530577408,0.490147607980227,48786928,191556889,0,0.0,0.0,0.0,171198.09152872444
Salzburg,18,1027,96,mean_intersection,fine_access,0,6.269789631,44.618909999999914,75727456,0.0,0.0,4530548736,0.5536214457348336,50193600,201906441,0,0.0,0.0,0.0,171198.09152872444
Salzburg,18,1027,96,mean_intersection,fine_access,1,6.334264022,44.64339499999983,76117384,0.0,0.0,4530548736,0.5772738533390326,50193600,201906441,0,0.0,0.0,0.0,171198.09152872444
Salzburg,18,1027,96,mean_intersection,production,1,6.403582793,44.54038799999989,76721576,0.0,0.0,4530548736,0.6167815936272838,48786928,191556889,0,0.0,0.0,0.0,171198.09152872444
Salzburg,18,1027,96,mean_intersection,production,2,6.499539292,44.690219999999954,79715168,0.0,0.0,4530548736,0.6753986402330586,48786928,191556889,0,0.0,0.0,0.0,171198.09152872444
Salzburg,18,1027,96,mean_intersection,fine_access,2,6.251610417,44.66999299999998,75895392,0.0,0.0,4530548736,0.5934482081474656,50193600,201906441,0,0.0,0.0,0.0,171198.09152872444
Salzburg,18,1027,96,mean_intersection,fine_access,3,6.471879298,44.853024000000005,73453896,0.0,0.0,4530548736,0.6454038784688595,50193600,201906441,0,0.0,0.0,0.0,171198.09152872444
Salzburg,18,1027,96,mean_intersection,production,3,6.535545996,44.549829000000045,79493176,0.0,0.0,4530548736,0.7084597067740938,48786928,191556889,0,0.0,0.0,0.0,171198.09152872444
Salzburg,18,1027,96,reachable_union,production,0,6.457596839,44.81698100000017,78415016,0.0,0.0,4530548736,0.6678984624677168,48786928,191556889,0,0.0,0.0,0.0,1.4941361290672673e6
Salzburg,18,1027,96,reachable_union,fine_access,0,6.434219942,44.590259999999944,73539544,0.0,0.0,4530548736,0.6993450706761486,50193600,201906441,0,4.656612873077393e-10,0.0,2.1336989356279485e-16,1.4941361290672673e6
Salzburg,18,1027,96,reachable_union,fine_access,1,6.429534946,44.83261399999992,74871288,0.0,0.0,4530548736,0.6979332156608005,50193600,201906441,0,4.656612873077393e-10,0.0,2.1336989356279485e-16,1.4941361290672673e6
Salzburg,18,1027,96,reachable_union,production,1,6.46742531,44.614588999999796,78360960,0.0,0.0,4530548736,0.7151858395574274,48786928,191556889,0,0.0,0.0,0.0,1.4941361290672673e6
Salzburg,6,127,1,mean_intersection,production,0,0.074284554,0.11821699999995872,23198512,0.0,0.0,4530548736,2.4471170688674717,38451,944078,0,0.0,0.0,0.0,3.737973275590551e6
Salzburg,6,127,1,mean_intersection,fine_access,0,0.053791259,0.10548800000015035,22747832,0.0,0.0,4530548736,2.500629330697324,40250,1018127,0,0.0,0.0,0.0,3.737973275590551e6
Salzburg,6,127,1,mean_intersection,fine_access,1,0.059152534,0.10716299999990042,22747832,0.0,0.0,4530552832,2.58377772978268,40250,1018127,0,0.0,0.0,0.0,3.737973275590551e6
Salzburg,6,127,1,mean_intersection,production,1,0.058836921,0.10945100000003549,23198512,0.0,0.0,4530552832,1.8789052535911053,38451,944078,0,0.0,0.0,0.0,3.737973275590551e6
Salzburg,6,127,1,mean_intersection,production,2,0.074421711,0.13538900000003196,23198512,0.0,0.0,4530999296,1.4056516382787116,38451,944078,0,0.0,0.0,0.0,3.737973275590551e6
Salzburg,6,127,1,mean_intersection,fine_access,2,0.050413644,0.09835700000007819,22747832,0.0,0.0,4531027968,1.6194623830632944,40250,1018127,0,0.0,0.0,0.0,3.737973275590551e6
Salzburg,6,127,1,mean_intersection,fine_access,3,0.055740866,0.10997500000007676,22747832,0.0,0.0,4531027968,2.691472357269018,40250,1018127,0,0.0,0.0,0.0,3.737973275590551e6
Salzburg,6,127,1,mean_intersection,production,3,0.069419434,0.11430199999995239,23198512,0.0,0.0,4531027968,2.3869108472994363,38451,944078,0,0.0,0.0,0.0,3.737973275590551e6
Salzburg,6,127,4,mean_intersection,production,0,0.160934158,1.0618150000000242,90780264,0.0,0.0,4531027968,0.7343686474240184,266976,4108905,0,0.0,0.0,0.0,2.668782803149606e6
Salzburg,6,127,4,mean_intersection,fine_access,0,0.173110505,1.0414910000001782,93233024,0.0,0.0,4531060736,1.1467183923385154,280680,4237403,0,0.0,0.0,0.0,2.668782803149606e6
Salzburg,6,127,4,mean_intersection,fine_access,1,0.179182844,1.04764299999988,93233024,0.0,0.0,4531077120,1.2409502770384153,280680,4237403,0,0.0,0.0,0.0,2.668782803149606e6
Salzburg,6,127,4,mean_intersection,production,1,0.170690786,1.0620320000000447,90780264,0.0,0.0,4531077120,0.8082920184888547,266976,4108905,0,0.0,0.0,0.0,2.668782803149606e6
Salzburg,6,127,4,mean_intersection,production,2,0.161380297,1.0644779999997809,90780264,0.0,0.0,4531077120,0.7158370767618668,266976,4108905,0,0.0,0.0,0.0,2.668782803149606e6
Salzburg,6,127,4,mean_intersection,fine_access,2,0.178483056,1.0719510000001264,93233024,0.0,0.0,4531077120,0.8855126287038834,280680,4237403,0,0.0,0.0,0.0,2.668782803149606e6
Salzburg,6,127,4,mean_intersection,fine_access,3,0.181195937,1.0705239999999776,93233024,0.0,0.0,4531077120,0.8801301107420044,280680,4237403,0,0.0,0.0,0.0,2.668782803149606e6
Salzburg,6,127,4,mean_intersection,production,3,0.172826577,1.0721819999998843,90780264,0.0,0.0,4531077120,0.9710196365851907,266976,4108905,0,0.0,0.0,0.0,2.668782803149606e6
