city,radius,samples,step_ms,mode,origin,fine,coarse,signed_error
Paris_large,57,96,60000,mean_intersection,881fb6a51bfffff,1.1686867e7,681936.0,-1.1004931e7
Paris_large,57,96,60000,mean_intersection,881fb6a557fffff,1.1412797e7,425906.0,-1.0986891e7
London,18,96,900000,mean_intersection,88194ad83bfffff,9.921986e6,1.1545805e7,1.623819e6
London,18,96,900000,mean_intersection,88194ad09dfffff,9.601189e6,1.1176346e7,1.575157e6
London,18,96,900000,mean_intersection,88194ad0d7fffff,9.775779e6,1.1307995e7,1.532216e6
London,18,96,900000,mean_intersection,88194ad2b1fffff,9.877947e6,1.1385987e7,1.50804e6
London,18,96,900000,mean_intersection,88194ad2b3fffff,9.57604e6,1.106659e7,1.49055e6
London,18,96,900000,mean_intersection,88194ad083fffff,9.812994e6,1.1251944e7,1.43895e6
London,18,96,900000,mean_intersection,88194ad0b9fffff,9.717008e6,1.1122509e7,1.405501e6
London,18,96,900000,mean_intersection,88194ad833fffff,9.928886e6,1.1316458e7,1.387572e6
London,18,96,900000,mean_intersection,88194ad0d9fffff,9.811144e6,1.1169747e7,1.358603e6
London,18,96,900000,mean_intersection,88194ad095fffff,9.784468e6,1.1122845e7,1.338377e6
London,18,96,900000,reachable_union,88194e6917fffff,3.79709108645834e7,2.5511604364583366e7,-1.2459306500000037e7
London,18,96,900000,reachable_union,88194e693dfffff,3.840070784375004e7,2.6071496770833466e7,-1.2329211072916571e7
London,18,96,900000,reachable_union,88194ada55fffff,3.846886945833336e7,2.6861657375000093e7,-1.1607212083333265e7
London,18,96,900000,reachable_union,88194e693bfffff,3.675400506250008e7,2.5185558927083425e7,-1.1568446135416657e7
London,18,96,900000,reachable_union,88194e6931fffff,3.880904452083342e7,2.7310035708333466e7,-1.1499008812499952e7
London,18,96,900000,reachable_union,88194ada41fffff,3.892436217708339e7,2.751217348958337e7,-1.1412188687500019e7
London,18,96,900000,reachable_union,88195da5ddfffff,3.746215320833337e7,2.618377208333325e7,-1.1278381125000123e7
London,18,96,900000,reachable_union,88195da403fffff,3.832721351041674e7,2.713304296875006e7,-1.119417054166668e7
London,18,96,900000,reachable_union,88195da615fffff,3.659139092708338e7,2.555549180208328e7,-1.10358991250001e7
London,18,96,900000,reachable_union,88195da5c3fffff,3.628381947916666e7,2.5268324718749948e7,-1.1015494760416709e7
London,18,96,60000,mean_intersection,88194e6917fffff,3.7279e7,2.3765813e7,-1.3513187e7
London,18,96,60000,mean_intersection,88195da615fffff,3.6125934e7,2.2810692e7,-1.3315242e7
London,18,96,60000,mean_intersection,88194e6839fffff,3.4861952e7,2.2239491e7,-1.2622461e7
London,18,96,60000,mean_intersection,88194e6907fffff,3.5561031e7,2.3141244e7,-1.2419787e7
London,18,96,60000,mean_intersection,88194e6915fffff,3.5437477e7,2.3160226e7,-1.2277251e7
London,18,96,60000,mean_intersection,88194e692bfffff,3.6156723e7,2.3915571e7,-1.2241152e7
London,18,96,60000,mean_intersection,88195da5c3fffff,3.6432762e7,2.4229908e7,-1.2202854e7
London,18,96,60000,mean_intersection,88194e693dfffff,3.7215882e7,2.5162761e7,-1.2053121e7
London,18,96,60000,mean_intersection,88195da5ddfffff,3.7478947e7,2.5442316e7,-1.2036631e7
London,18,96,60000,mean_intersection,88194e6939fffff,3.5431076e7,2.3446743e7,-1.1984333e7
London,18,96,60000,reachable_union,88194e692bfffff,4.7073625625000134e7,3.0798430531249944e7,-1.627519509375019e7
London,18,96,60000,reachable_union,88194e693dfffff,4.8328245760416836e7,3.209192396875012e7,-1.6236321791666716e7
London,18,96,60000,reachable_union,88194ada47fffff,4.888295636458335e7,3.2658841999999933e7,-1.6224114364583418e7
London,18,96,60000,reachable_union,88194ada55fffff,4.832519590625e7,3.238344728124997e7,-1.594174862500003e7
London,18,96,60000,reachable_union,88194e6907fffff,4.594236687500011e7,3.0248827322916575e7,-1.5693539552083537e7
London,18,96,60000,reachable_union,88194e6915fffff,4.5573205885416746e7,3.0223796083333317e7,-1.5349409802083429e7
London,18,96,60000,reachable_union,88194e6917fffff,4.7924638822916836e7,3.258139327083339e7,-1.5343245552083444e7
London,18,96,60000,reachable_union,88195da691fffff,5.1675834968750276e7,3.640355458333348e7,-1.5272280385416798e7
London,18,96,60000,reachable_union,88195da5ddfffff,4.747309608333353e7,3.223352056250005e7,-1.5239575520833481e7
London,18,96,60000,reachable_union,88194e6963fffff,4.576363846875011e7,3.054699509374998e7,-1.521664337500013e7
London_moved,18,96,60000,mean_intersection,88194e6917fffff,3.7279e7,2.3765813e7,-1.3513187e7
London_moved,18,96,60000,mean_intersection,88195da615fffff,3.6125934e7,2.2810692e7,-1.3315242e7
London_moved,18,96,60000,mean_intersection,88194e6839fffff,3.4861952e7,2.2239491e7,-1.2622461e7
London_moved,18,96,60000,mean_intersection,88194e6907fffff,3.5561031e7,2.3141244e7,-1.2419787e7
London_moved,18,96,60000,mean_intersection,88194e6915fffff,3.5437477e7,2.3160226e7,-1.2277251e7
London_moved,18,96,60000,mean_intersection,88194e692bfffff,3.6156723e7,2.3915571e7,-1.2241152e7
London_moved,18,96,60000,mean_intersection,88195da5c3fffff,3.6432762e7,2.4229908e7,-1.2202854e7
London_moved,18,96,60000,mean_intersection,88194e693dfffff,3.7215882e7,2.5162761e7,-1.2053121e7
London_moved,18,96,60000,mean_intersection,88195da5ddfffff,3.7478947e7,2.5442316e7,-1.2036631e7
London_moved,18,96,60000,mean_intersection,88194e6939fffff,3.5431076e7,2.3446743e7,-1.1984333e7
