city,radius,samples,step_ms,mode,origin,fine,coarse,signed_error
Paris,18,96,900000,mean_intersection,881fb09b45fffff,1.0201519e7,1.0282434e7,80915.0
Paris,18,96,900000,mean_intersection,881fb09b47fffff,9.860016e6,1.001405e7,154034.0
Paris,18,96,900000,mean_intersection,881fb09b49fffff,1.0325184e7,1.0313743e7,-11441.0
Paris,18,96,900000,mean_intersection,881fb09b4bfffff,1.0058348e7,1.0297923e7,239575.0
Paris,18,96,900000,mean_intersection,881fb09b4dfffff,1.0173394e7,1.0301265e7,127871.0
Paris,18,96,900000,mean_intersection,881fb09b59fffff,9.916072e6,1.0141028e7,224956.0
Paris,18,96,900000,mean_intersection,881fb09b5dfffff,9.736124e6,1.0254908e7,518784.0
Paris,18,96,900000,mean_intersection,881fb09b61fffff,9.682233e6,1.0000605e7,318372.0
Paris,18,96,900000,mean_intersection,881fb09b69fffff,9.938794e6,1.0063656e7,124862.0
Paris,18,96,900000,mean_intersection,881fb09b6bfffff,9.860037e6,1.0018838e7,158801.0
Paris,18,96,900000,mean_intersection,881fb09b6dfffff,9.917281e6,1.0066e7,148719.0
Paris,18,96,900000,mean_intersection,881fb42801fffff,9.720929e6,9.905329e6,184400.0
Paris,18,96,900000,mean_intersection,881fb42803fffff,9.849762e6,1.0097961e7,248199.0
Paris,18,96,900000,mean_intersection,881fb42805fffff,1.0072966e7,1.002151e7,-51456.0
Paris,18,96,900000,mean_intersection,881fb42807fffff,1.0030177e7,1.0015669e7,-14508.0
Paris,18,96,900000,mean_intersection,881fb4280dfffff,1.0185584e7,1.0228802e7,43218.0
Paris,18,96,900000,mean_intersection,881fb42821fffff,1.08964e7,1.0406337e7,-490063.0
Paris,18,96,900000,mean_intersection,881fb42823fffff,1.0595086e7,9.979291e6,-615795.0
Paris,18,96,900000,mean_intersection,881fb42825fffff,1.0953217e7,1.0568579e7,-384638.0
Paris,18,96,900000,mean_intersection,881fb42827fffff,1.0907051e7,1.0448389e7,-458662.0
Paris,18,96,900000,mean_intersection,881fb42829fffff,1.070524e7,1.0423552e7,-281688.0
Paris,18,96,900000,mean_intersection,881fb4282bfffff,1.0500625e7,1.0020631e7,-479994.0
Paris,18,96,900000,mean_intersection,881fb4282dfffff,1.0851297e7,1.0387381e7,-463916.0
Paris,18,96,900000,mean_intersection,881fb42831fffff,1.0633602e7,1.0185987e7,-447615.0
Paris,18,96,900000,mean_intersection,881fb42835fffff,1.0598792e7,9.982165e6,-616627.0
Paris,18,96,900000,mean_intersection,881fb42837fffff,1.0898369e7,1.0250877e7,-647492.0
Paris,18,96,900000,mean_intersection,881fb42839fffff,9.997374e6,1.0313292e7,315918.0
Paris,18,96,900000,mean_intersection,881fb4283dfffff,1.0353578e7,1.007155e7,-282028.0
Paris,18,96,900000,mean_intersection,881fb42861fffff,1.0404057e7,1.010856e7,-295497.0
Paris,18,96,900000,mean_intersection,881fb42863fffff,1.0185584e7,1.0232794e7,47210.0
Paris,18,96,900000,mean_intersection,881fb42865fffff,1.0563129e7,1.0204333e7,-358796.0
Paris,18,96,900000,mean_intersection,881fb42867fffff,1.0589008e7,1.0293028e7,-295980.0
Paris,18,96,900000,mean_intersection,881fb42869fffff,9.850814e6,9.907945e6,57131.0
Paris,18,96,900000,mean_intersection,881fb4286bfffff,1.0176441e7,1.0219237e7,42796.0
Paris,18,96,900000,mean_intersection,881fb4286dfffff,1.0009932e7,9.989524e6,-20408.0
Paris,18,96,900000,mean_intersection,881fb42901fffff,1.0910934e7,1.073327e7,-177664.0
Paris,18,96,900000,mean_intersection,881fb42903fffff,1.0971833e7,1.0698077e7,-273756.0
Paris,18,96,900000,mean_intersection,881fb42905fffff,1.0927538e7,1.0518096e7,-409442.0
