city,radius,samples,step_ms,mode,variant,pair,wall_s,bytes,gc_s,compile_s,rss,shared,separate
Paris_large,57,96,60000,mean_intersection,fine,3,113.599670155,5160867480,0.010809479,0.0,34044059648,437290366,887249926
London,18,96,900000,mean_intersection,fine,0,66.73597284,5118154344,0.005346678,0.0,37560328192,160780931,2286441034
London,18,96,900000,mean_intersection,coarse,0,14.463736982,3043940232,0.004142473,0.0,35498471424,15075245,116638399
London,18,96,900000,mean_intersection,coarse,1,14.461710795,3043910952,0.004489138,0.0,31992889344,15075245,116638399
London,18,96,900000,mean_intersection,fine,1,67.535927995,5118162680,0.006088468,0.0,34059063296,160780931,2286441034
London,18,96,900000,mean_intersection,fine,2,66.738716586,5118155720,0.006433475,0.0,37603946496,160780931,2286441034
London,18,96,900000,mean_intersection,coarse,2,14.160082529,3043940232,0.004271764,0.0,35515719680,15075245,116638399
London,18,96,900000,mean_intersection,coarse,3,13.77130051,3044181712,0.00353237,0.0,31978549248,15075245,116638399
London,18,96,900000,mean_intersection,fine,3,66.318811501,5118163368,0.00551755,0.0,34072858624,160780931,2286441034
London,18,96,900000,reachable_union,fine,0,66.82082495,5110931144,0.00643128,0.0,37610360832,160780931,2286441034
London,18,96,900000,reachable_union,coarse,0,14.387415266,3036719848,0.004422955,0.0,35592994816,15075245,116638399
London,18,96,900000,reachable_union,coarse,1,14.446727768,3036687064,0.003579048,0.0,31987707904,15075245,116638399
London,18,96,900000,reachable_union,fine,1,67.493189047,5110938104,0.005334022,0.0,34071564288,160780931,2286441034
London,18,96,900000,reachable_union,fine,2,67.568821046,5110931144,0.005462728,0.0,37601169408,160780931,2286441034
London,18,96,900000,reachable_union,coarse,2,14.673954964,3036715656,0.005455811,0.0,35524141056,15075245,116638399
London,18,96,900000,reachable_union,coarse,3,14.212416606,3036690568,0.003756092,0.0,31987269632,15075245,116638399
London,18,96,900000,reachable_union,fine,3,67.027880521,5110937416,0.006729914,0.0,34102104064,160780931,2286441034
London,18,96,60000,mean_intersection,fine,0,44.765762905,5109207480,0.006134007,0.0,37638950912,132514130,360270363
London,18,96,60000,mean_intersection,coarse,0,9.296906778,3046066224,0.00539927,0.0,35523756032,8915363,21773289
London,18,96,60000,mean_intersection,coarse,1,8.995167297,3046050208,0.004531827,0.0,32029044736,8915363,21773289
London,18,96,60000,mean_intersection,fine,1,45.260847663,5109212376,0.005509183,0.0,34084880384,132514130,360270363
London,18,96,60000,mean_intersection,fine,2,43.224652294,5109209544,0.005806277,0.0,37614694400,132514130,360270363
London,18,96,60000,mean_intersection,coarse,2,9.258382618,3046065536,0.007807869,0.0,35500027904,8915363,21773289
London,18,96,60000,mean_intersection,coarse,3,8.966435517,3046051584,0.004490554,0.0,31998464000,8915363,21773289
London,18,96,60000,mean_intersection,fine,3,44.70095777,5109211000,0.005607351,0.0,34095603712,132514130,360270363
London,18,96,60000,reachable_union,fine,0,44.200867071,5099198456,0.006769227,0.0,37629181952,132514130,360270363
London,18,96,60000,reachable_union,coarse,0,9.111588869,3036053072,0.0045102,0.0,35581923328,8915363,21773289
London,18,96,60000,reachable_union,coarse,1,8.937707662,3036043312,0.00436694,0.0,32010035200,8915363,21773289
London,18,96,60000,reachable_union,fine,1,44.816947961,5099198536,0.005720845,0.0,34106421248,132514130,360270363
London,18,96,60000,reachable_union,fine,2,45.214582923,5099198456,0.009547627,0.0,37631422464,132514130,360270363
London,18,96,60000,reachable_union,coarse,2,8.949361923,3036049568,0.004568442,0.0,35544444928,8915363,21773289
London,18,96,60000,reachable_union,coarse,3,9.008471915,3036043312,0.004468179,0.0,31982149632,8915363,21773289
London,18,96,60000,reachable_union,fine,3,45.86760211,5099420528,0.005611293,0.0,34114940928,132514130,360270363
London_moved,18,96,60000,mean_intersection,fine,0,44.698937947,5108974112,0.002658875,0.0,37616877568,138146885,359091887
London_moved,18,96,60000,mean_intersection,coarse,0,9.084277406,3045221664,0.004700555,0.0,35529383936,8993528,21755371
London_moved,18,96,60000,mean_intersection,coarse,1,8.939359532,3045215408,0.004792382,0.0,31991185408,8993528,21755371
London_moved,18,96,60000,mean_intersection,fine,1,44.89819258,5108974192,0.005573319,0.0,34112028672,138146885,359091887
London_moved,18,96,60000,mean_intersection,fine,2,45.300195193,5108974112,0.002948329,0.0,37635375104,138146885,359091887
London_moved,18,96,60000,mean_intersection,coarse,2,9.242457629,3045221664,0.004221583,0.0,35551535104,8993528,21755371
London_moved,18,96,60000,mean_intersection,coarse,3,8.989620025,3045215408,0.004745083,0.0,32014270464,8993528,21755371
London_moved,18,96,60000,mean_intersection,fine,3,46.363589755,5108973504,0.005178901,0.0,34116476928,138146885,359091887
