city,radius,origins,departure_ms,budget_h,samples,mode,exclude,core,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss_bytes,external_cores,shared,independent
Vienna,6,127,28800000,3,1,mean_intersection,false,7,3,0.021706107,0.04270899999994526,9932976,0.0,0.0,5141905408,1.257295933593588,22549,773598
Vienna,6,127,28800000,3,1,mean_intersection,false,6,3,0.005955461,0.009408000000007632,6121384,0.0,0.0,5141905408,0.09940454532239762,7454,235660
Vienna,6,127,28800000,3,4,mean_intersection,false,8,0,0.42418147,3.112560999999914,266722232,0.0,0.0,5166796800,0.2768602786478611,417325,5981122
Vienna,6,127,28800000,3,4,mean_intersection,false,7,0,0.045859588,0.3128860000000486,42161112,0.0,0.0,5167046656,0.15512568636996815,161532,3012588
Vienna,6,127,28800000,3,4,mean_intersection,false,6,0,0.012448888,0.08822999999995318,25689112,0.0,0.0,5167067136,0.9454659706765581,52052,964045
Vienna,6,127,28800000,3,4,mean_intersection,false,6,1,0.01239118,0.08829400000001897,25689112,0.0,0.0,5167067136,0.13767857196689431,52052,964045
Vienna,6,127,28800000,3,4,mean_intersection,false,8,1,0.423756896,3.1354060000001027,266722232,0.0,0.0,5194735616,0.1524317375435258,417325,5981122
Vienna,6,127,28800000,3,4,mean_intersection,false,7,1,0.051159107,0.3058819999999969,42161112,0.0,0.0,5194887168,0.4714312147413676,161532,3012588
Vienna,6,127,28800000,3,4,mean_intersection,false,7,2,0.04229152,0.3016410000000178,42161112,0.0,0.0,5186695168,0.0,161532,3012588
Vienna,6,127,28800000,3,4,mean_intersection,false,6,2,0.01549439,0.08228599999995367,25689112,0.0,0.0,5186695168,0.4978576095896667,52052,964045
Vienna,6,127,28800000,3,4,mean_intersection,false,8,2,0.418900319,3.099290999999994,266722232,0.0,0.0,5193801728,0.16879672017031908,417325,5981122
Vienna,6,127,28800000,3,4,mean_intersection,false,8,3,0.421235282,3.0953969999999345,266722232,0.0,0.0,5220679680,0.10588619215907795,417325,5981122
Vienna,6,127,28800000,3,4,mean_intersection,false,7,3,0.044393226,0.30865300000004936,42161112,0.0,0.0,5220745216,0.25560205849261547,161532,3012588
Vienna,6,127,28800000,3,4,mean_intersection,false,6,3,0.012644372,0.08799200000009932,25689112,0.0,0.0,5220745216,0.1588058281822447,52052,964045
Vienna,6,127,72000000,3,96,reachable_union,false,8,0,1.721583858,12.296914000000015,72353032,0.0,0.0,5220777984,0.2689883492212077,11359040,64753729
Vienna,6,127,72000000,3,96,reachable_union,false,7,0,0.521871463,3.5447820000000547,40129896,0.0,0.0,5220782080,0.2782639219736015,3749267,30055620
Vienna,6,127,72000000,3,96,reachable_union,false,6,0,0.192702073,1.1804750000000013,23877256,0.0,0.0,5220782080,0.2570029435094467,1158241,10663899
Vienna,6,127,72000000,3,96,reachable_union,false,6,1,0.181406321,1.248599000000013,23877256,0.0,0.0,5220945920,0.22822247763483394,1158241,10663899
Vienna,6,127,72000000,3,96,reachable_union,false,8,1,1.688985327,12.152360000000044,72353032,0.0,0.0,5220950016,0.10517557323814825,11359040,64753729
Vienna,6,127,72000000,3,96,reachable_union,false,7,1,0.484963247,3.5589220000000523,40129896,0.0,0.0,5220950016,0.10532344523414543,3749267,30055620
Vienna,6,127,72000000,3,96,reachable_union,false,7,2,0.485563858,3.5283019999999397,40129896,0.0,0.0,5220950016,0.12706464649488813,3749267,30055620
Vienna,6,127,72000000,3,96,reachable_union,false,6,2,0.174765067,1.2192230000000563,23877256,0.0,0.0,5220950016,0.06166564157422377,1158241,10663899
Vienna,6,127,72000000,3,96,reachable_union,false,8,2,1.727154498,12.241688999999951,72353032,0.0,0.0,5220958208,0.17850806067854136,11359040,64753729
Vienna,6,127,72000000,3,96,reachable_union,false,8,3,1.699817288,12.22404999999992,72353032,0.0,0.0,5221142528,0.10939411038198368,11359040,64753729
Vienna,6,127,72000000,3,96,reachable_union,false,7,3,0.489202218,3.5107459999999264,40129896,0.0,0.0,5221142528,0.08024084618975375,3749267,30055620
Vienna,6,127,72000000,3,96,reachable_union,false,6,3,0.179154764,1.2597939999999426,23877256,0.0,0.0,5221142528,0.11278516728696708,1158241,10663899
Vienna,6,127,84600000,6,96,mean_intersection,true,8,0,3.447761338,21.985687999999982,110238808,0.0,2.045190989,5222330368,0.5987398191336668,18053410,108552534
Vienna,6,127,84600000,6,96,mean_intersection,true,7,0,0.90963082,6.0596140000000105,55509904,0.0,0.600864392,5163143168,0.1433394704683879,5576757,45773557
Vienna,6,127,84600000,6,96,mean_intersection,true,6,0,0.29644225,2.070604000000003,30751088,0.0,0.0,5163143168,0.3690297184399988,1574730,14816790
Vienna,6,127,84600000,6,96,mean_intersection,true,6,1,0.318083899,2.0222720000000436,30751088,0.0,0.0,5163151360,0.11861021628081767,1574730,14816790
Vienna,6,127,84600000,6,96,mean_intersection,true,8,1,2.956794789,21.16847999999993,98654568,0.0,0.0,5163966464,0.1865263027858185,18053410,108552534
Vienna,6,127,84600000,6,96,mean_intersection,true,7,1,0.839480336,6.011004000000071,53664408,0.0,0.0,5163986944,0.21322238578375124,5576757,45773557
Vienna,6,127,84600000,6,96,mean_intersection,true,7,2,0.854909589,5.9313829999999825,53664408,0.0,0.0,5164027904,0.4311765883470144,5576757,45773557
Vienna,6,127,84600000,6,96,mean_intersection,true,6,2,0.305013191,2.0517900000000964,30751088,0.0,0.0,5164032000,0.3875570091059214,1574730,14816790
Vienna,6,127,84600000,6,96,mean_intersection,true,8,2,2.942999719,21.061115000000086,98654568,0.0,0.0,5164142592,0.13213898647666267,18053410,108552534
Vienna,6,127,84600000,6,96,mean_intersection,true,8,3,2.986245959,21.18263300000001,98654568,0.0,0.0,5164912640,0.10962492855160297,18053410,108552534
Vienna,6,127,84600000,6,96,mean_intersection,true,7,3,0.828657529,5.949899999999957,53664408,0.0,0.0,5164916736,0.08459465770288024,5576757,45773557
Vienna,6,127,84600000,6,96,mean_intersection,true,6,3,0.281284051,2.086616000000049,30751088,0.0,0.0,5164920832,0.11868429751566074,1574730,14816790
Vienna,18,1027,28800000,3,96,reachable_union,false,8,0,9.564469526,71.42517099999998,148067600,0.0,0.0,5176795136,0.29325505114076267,44959930,435833812
Vienna,18,1027,28800000,3,96,reachable_union,false,7,0,2.802205181,21.37003699999991,72590848,0.0,0.0,5195935744,0.16414322658344244,16789767,215661833
Vienna,18,1027,28800000,3,96,reachable_union,false,6,0,1.073286297,8.250858999999991,38791136,0.0,0.0,5196038144,0.1016886178529625,5797136,79622408
Vienna,18,1027,28800000,3,96,reachable_union,false,6,1,1.06289149,8.214790999999991,38791136,0.0,0.0,5196038144,0.0989837635719392,5797136,79622408
Vienna,18,1027,28800000,3,96,reachable_union,false,8,1,9.430911137,71.15927899999997,148067600,0.0,0.0,5196103680,0.13474000353470172,44959930,435833812
Vienna,18,1027,28800000,3,96,reachable_union,false,7,1,2.808821066,21.303687999999966,72595312,0.0,0.0,5196111872,0.17313740840381725,16789767,215661833
Vienna,18,1027,28800000,3,96,reachable_union,false,7,2,2.784950685,21.327332999999953,72590848,0.0,0.0,5196132352,0.15894967271287888,16789767,215661833
Vienna,18,1027,28800000,3,96,reachable_union,false,6,2,1.076143191,8.240338000000065,38791136,0.0,0.0,5196148736,0.11119523961748036,5797136,79622408
Vienna,18,1027,28800000,3,96,reachable_union,false,8,2,9.608126833,71.44279900000004,148067600,0.0,0.0,5196156928,0.3233930040738597,44959930,435833812
Vienna,18,1027,28800000,3,96,reachable_union,false,8,3,9.68323643,71.45160400000009,148067600,0.0,0.0,5260042240,0.40465768117109324,44959930,435833812
Vienna,18,1027,28800000,3,96,reachable_union,false,7,3,2.906698185,21.44114300000001,72590848,0.0,0.0,5260070912,0.3746027040739796,16789767,215661833
Vienna,18,1027,28800000,3,96,reachable_union,false,6,3,1.138115956,8.25249500000018,38791136,0.0,0.0,5165322240,0.5074219343937478,5797136,79622408
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,8,0,1.108615158,7.603321999999935,191766632,0.0,0.0,5167280128,0.4660571310674869,1183331,10422072
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,7,0,0.103213881,0.6685170000000653,34026656,0.0,0.0,5167280128,0.5956853805478766,422166,4649574
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,6,0,0.027990424,0.1917399999999816,18492024,0.0,0.0,5167280128,1.009631007092952,165703,1771775
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,6,1,0.028801707,0.1864740000000893,18631408,0.0,0.0,5167284224,1.1640282283258778,165703,1771775
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,8,1,1.1309115,7.479920999999877,171564608,0.0,0.0,5167648768,0.5748274731385831,1183331,10422072
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,7,1,0.097088703,0.6580899999999019,33469600,0.0,0.0,5167648768,0.3286685160910917,422166,4649574
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,7,2,0.096693028,0.6659140000001571,34026656,0.0,0.0,5167648768,0.559357805734486,422166,4649574
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,6,2,0.02917394,0.1881710000000112,18492024,0.0,0.0,5167648768,1.091007936825278,165703,1771775
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,8,2,1.125277551,7.599238000000014,182818512,0.0,0.0,5168078848,0.5516523451662162,1183331,10422072
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,8,3,1.105109817,7.546444999999949,185212056,0.0,0.0,5172133888,0.5280515936315384,1183331,10422072
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,7,3,0.10786856,0.6481890000000021,34026656,0.0,0.0,5172207616,0.9438431364986969,422166,4649574
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,6,3,0.030481187,0.18391399999995883,18352640,0.0,0.0,5172207616,1.183877779172494,165703,1771775
Salzburg,6,127,28800000,3,96,mean_intersection,false,8,0,1.117291389,7.546470999999883,64045104,0.0,0.0,5225852928,0.6565243473040328,7642504,38239550
Salzburg,6,127,28800000,3,96,mean_intersection,false,7,0,0.366306953,2.63160199999993,39558168,0.0,0.0,5160689664,0.4870177824321402,3064353,18984935
Salzburg,6,127,28800000,3,96,mean_intersection,false,6,0,0.176118122,1.0822450000000572,25687208,0.0,0.0,5160427520,1.009294205449545,1163282,7499283
Salzburg,6,127,28800000,3,96,mean_intersection,false,6,1,0.17286651,1.0817579999998088,25687208,0.0,0.0,5160345600,0.5683113515451813,1163282,7499283
Salzburg,6,127,28800000,3,96,mean_intersection,false,8,1,1.043094796,7.571239000000105,64045104,0.0,0.0,5160345600,0.43980758189059094,7642504,38239550
Salzburg,6,127,28800000,3,96,mean_intersection,false,7,1,0.403103359,2.6436389999998937,39558168,0.0,0.0,5160345600,0.6607759374098574,3064353,18984935
Salzburg,6,127,28800000,3,96,mean_intersection,false,7,2,0.419968505,2.6268549999999777,39558168,0.0,0.0,5160312832,0.7694505566636626,3064353,18984935
Salzburg,6,127,28800000,3,96,mean_intersection,false,6,2,0.172080935,1.1166109999999208,25687208,0.0,0.0,5160321024,0.5427039315123802,1163282,7499283
Salzburg,6,127,28800000,3,96,mean_intersection,false,8,2,1.135646714,7.581912999999986,64045104,0.0,0.0,5160321024,0.8612599216656371,7642504,38239550
Salzburg,6,127,28800000,3,96,mean_intersection,false,8,3,1.118589332,7.4942570000000615,64045104,0.0,0.0,5160321024,0.5683435214493849,7642504,38239550
Salzburg,6,127,28800000,3,96,mean_intersection,false,7,3,0.390679044,2.629816000000119,39558168,0.0,0.0,5160321024,0.7171718174688616,3064353,18984935
