case,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,maxrss,workers,shared,separate
near_B900000_W900000,fixed,3,0.01158036,0.015687999999954627,228453032,0.0,0.0,19140141056,29712605184,1,518,752
near_B1800000_W180000,zero,0,0.005783889,0.006099999999833017,142782776,0.0,0.0,19140141056,29712605184,1,467,2633
near_B1800000_W180000,fine,0,0.005436288,0.0061619999999038555,142782824,0.0,0.0,19140141056,29712605184,1,467,2633
near_B1800000_W180000,fixed,0,0.009443535,0.011209999999891807,228458272,0.0,0.0,19140141056,29712605184,1,1450,3254
near_B1800000_W180000,fixed,1,0.00817272,0.007967000000007829,228458272,0.0,0.0,19140141056,29712605184,1,1450,3254
near_B1800000_W180000,zero,1,0.00529333,0.00574800000003961,142782776,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W180000,fine,1,0.005397429,0.005730999999968844,142782824,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W180000,fine,2,0.00523091,0.005801999999903273,142782824,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W180000,fixed,2,0.009108311,0.010217000000011467,228458272,0.0,0.0,19140145152,29712605184,1,1450,3254
near_B1800000_W180000,zero,2,0.005855265,0.006664999999884458,142782776,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W180000,zero,3,0.005385491,0.0057809999998426065,142782776,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W180000,fine,3,0.005366117,0.0057150000000092405,142782824,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W180000,fixed,3,0.009820837,0.010929000000032829,228458272,0.0,0.0,19140145152,29712605184,1,1450,3254
near_B1800000_W360000,zero,0,0.005463083,0.005756000000019412,142782776,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W360000,fine,0,0.005410175,0.005738000000064858,142782824,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W360000,fixed,0,0.007883429,0.009547999999995227,228460736,0.0,0.0,19140145152,29712605184,1,1450,3254
near_B1800000_W360000,fixed,1,0.008236673,0.010526999999910913,228460736,0.0,0.0,19140145152,29712605184,1,1450,3254
near_B1800000_W360000,zero,1,0.005311143,0.005765999999994165,142782776,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W360000,fine,1,0.005330434,0.0057859999999436695,142782824,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W360000,fine,2,0.00571976,0.006118999999898733,142782824,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W360000,fixed,2,0.008891898,0.009355000000141445,228460736,0.0,0.0,19140145152,29712605184,1,1450,3254
near_B1800000_W360000,zero,2,0.005437662,0.005875999999943815,142782776,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W360000,zero,3,0.005020411,0.0055370000000039,142782776,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W360000,fine,3,0.005405992,0.005875000000060027,142782824,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W360000,fixed,3,0.008259394,0.00874999999996362,228460736,0.0,0.0,19140145152,29712605184,1,1450,3254
near_B1800000_W900000,zero,0,0.005423636,0.006023999999797525,142782776,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W900000,fine,0,0.006058629,0.00623900000005051,142882408,0.0,0.0,19140153344,29712605184,1,899,4223
near_B1800000_W900000,fixed,0,0.00887045,0.008982000000059998,228476064,0.0,0.0,19140153344,29712605184,1,1823,3760
near_B1800000_W900000,fixed,1,0.01176868,0.012216000000080385,228476064,0.0,0.0,19140153344,29712605184,1,1823,3760
near_B1800000_W900000,zero,1,0.005326679,0.00578799999993862,142782776,0.0,0.0,19140153344,29712605184,1,467,2633
near_B1800000_W900000,fine,1,0.00585271,0.005838999999923544,142882408,0.0,0.0,19140153344,29712605184,1,899,4223
near_B1800000_W900000,fine,2,0.006049713,0.006676999999854161,142882408,0.0,0.0,19140165632,29712605184,1,899,4223
near_B1800000_W900000,fixed,2,0.008897122,0.011042000000088592,228476064,0.0,0.0,19140165632,29712605184,1,1823,3760
near_B1800000_W900000,zero,2,0.007026214,0.007157000000006519,142782776,0.0,0.0,19140165632,29712605184,1,467,2633
near_B1800000_W900000,zero,3,0.005734709,0.005943999999999505,142782776,0.0,0.0,19140165632,29712605184,1,467,2633
near_B1800000_W900000,fine,3,0.005781463,0.00596199999995406,142882408,0.0,0.0,19140165632,29712605184,1,899,4223
near_B1800000_W900000,fixed,3,0.009480937,0.011319999999841457,228476064,0.0,0.0,19140165632,29712605184,1,1823,3760
near_B3600000_W180000,zero,0,0.005685707,0.006163000000015018,142802600,0.0,0.0,19140165632,29712605184,1,1467,15755
near_B3600000_W180000,fine,0,0.00647138,0.006386999999904219,142802648,0.0,0.0,19140165632,29712605184,1,1467,15755
near_B3600000_W180000,fixed,0,0.009123137,0.008535000000165383,228549360,0.0,0.0,19140165632,29712605184,1,4136,14844
near_B3600000_W180000,fixed,1,0.009569924,0.009422999999969761,228549360,0.0,0.0,19140165632,29712605184,1,4136,14844
near_B3600000_W180000,zero,1,0.006737169,0.006370999999944615,142802600,0.0,0.0,19140165632,29712605184,1,1467,15755
near_B3600000_W180000,fine,1,0.006021442,0.006228999999848384,142802648,0.0,0.0,19140169728,29712605184,1,1467,15755
near_B3600000_W180000,fine,2,0.005778572,0.005551999999852342,142802648,0.0,0.0,19140169728,29712605184,1,1467,15755
near_B3600000_W180000,fixed,2,0.009903958,0.01185299999997369,228549360,0.0,0.0,19140169728,29712605184,1,4136,14844
near_B3600000_W180000,zero,2,0.006145066,0.005939000000125816,142802600,0.0,0.0,19140169728,29712605184,1,1467,15755
near_B3600000_W180000,zero,3,0.005721056,0.006084999999984575,142802600,0.0,0.0,19140169728,29712605184,1,1467,15755
near_B3600000_W180000,fine,3,0.007310171,0.007757000000083281,142802648,0.0,0.0,19140169728,29712605184,1,1467,15755
near_B3600000_W180000,fixed,3,0.011721362,0.012071000000105414,228549360,0.0,0.0,19140169728,29712605184,1,4136,14844
near_B3600000_W360000,zero,0,0.005918435,0.0058070000000043365,142802600,0.0,0.0,19140169728,29712605184,1,1467,15755
near_B3600000_W360000,fine,0,0.007634524,0.008246999999983018,142802648,0.0,0.0,19140169728,29712605184,1,1467,15755
near_B3600000_W360000,fixed,0,0.013586439,0.01815800000008494,228551824,0.0,0.0,19140169728,29712605184,1,4136,14844
near_B3600000_W360000,fixed,1,0.009789682,0.013592000000016924,228551824,0.0,0.0,19140169728,29712605184,1,4136,14844
near_B3600000_W360000,zero,1,0.008002755,0.008334000000104425,142802600,0.0,0.0,19140169728,29712605184,1,1467,15755
near_B3600000_W360000,fine,1,0.006030224,0.0063589999999749125,142802648,0.0,0.0,19140169728,29712605184,1,1467,15755
near_B3600000_W360000,fine,2,0.006398669,0.007145000000036816,142802648,0.0,0.0,19140169728,29712605184,1,1467,15755
near_B3600000_W360000,fixed,2,0.009012603,0.008029999999962456,228551824,0.0,0.0,19140169728,29712605184,1,4136,14844
near_B3600000_W360000,zero,2,0.00964014,0.0077509999998710555,142802600,0.0,0.0,19140173824,29712605184,1,1467,15755
near_B3600000_W360000,zero,3,0.006272334,0.005908999999974185,142802600,0.0,0.0,19140173824,29712605184,1,1467,15755
near_B3600000_W360000,fine,3,0.005734635,0.005559999999832144,142802648,0.0,0.0,19140173824,29712605184,1,1467,15755
near_B3600000_W360000,fixed,3,0.016109785,0.01760300000000825,228551824,0.0,0.0,19140173824,29712605184,1,4136,14844
