city,radius,samples,step_ms,hours,mode,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,external_cores,shared,separate
Paris,18,96,60000,3,mean_intersection,fine,2,20.788976205,145.01139000000012,5076888552,0.002017046,0.0,28118851584,0.6252645571301809,71800130,194066727
Paris,18,96,60000,3,mean_intersection,boarding,2,3.203004552,21.253975999999966,2431961448,0.0,0.0,25016233984,0.6200503207997692,4406396,12459571
Paris,18,96,60000,3,mean_intersection,boarding,3,3.294619929,21.192497999999887,2431961448,0.0,0.0,21108715520,0.6275388495682915,4406396,12459571
Paris,18,96,60000,3,mean_intersection,fine,3,20.670578287,145.39816999999994,5076884088,0.001916549,0.0,24230658048,0.6009425487567277,71800130,194066727
Paris,18,96,60000,3,reachable_union,fine,0,20.579845175,143.4410780000003,5074073808,0.002439604,0.0,28118917120,0.6141407718320118,71800130,194066727
Paris,18,96,60000,3,reachable_union,boarding,0,3.425002007,20.592814999999973,2427749352,0.0,0.0,25016295424,1.067790615166208,4406396,12459571
Paris,18,96,60000,3,reachable_union,boarding,1,3.047275011,20.485932000000503,2427749352,0.0,0.0,21109456896,0.5821817832669552,4406396,12459571
Paris,18,96,60000,3,reachable_union,fine,1,20.602409619,143.43600999999944,5072676456,0.001952234,0.0,24231370752,0.5030474683159984,71800130,194066727
Paris,18,96,60000,3,reachable_union,fine,2,20.681416278,144.3056260000003,5072671992,0.002378234,0.0,28119629824,0.6283116119986966,71800130,194066727
Paris,18,96,60000,3,reachable_union,boarding,2,3.04476918,20.47678900000028,2427731800,0.0,0.0,25017008128,0.6283599468166218,4406396,12459571
Paris,18,96,60000,3,reachable_union,boarding,3,3.050203829,20.496401000000333,2427731800,0.0,0.0,21109456896,0.6273675817460471,4406396,12459571
Paris,18,96,60000,3,reachable_union,fine,3,20.484513011,144.27229100000022,5072676456,0.002250675,0.0,24231370752,0.6267031582880234,71800130,194066727
Paris,6,180,60000,6,mean_intersection,fine,0,68.505425325,129.66359199999988,1339953104,0.0,0.0,24389799936,1.010524460969239,46589742,213695927
Paris,6,180,60000,6,mean_intersection,boarding,0,12.707925742,23.411724999999933,528537232,0.0,0.0,24723329024,0.6490654074859689,5169422,15065937
Paris,6,180,60000,6,mean_intersection,boarding,1,12.853535036,23.51118899999983,528538176,0.0,0.0,24997871616,0.6682061375272611,5169422,15065937
Paris,6,180,60000,6,mean_intersection,fine,1,66.134946016,126.38863500000025,1339954480,0.0,0.0,26062901248,0.7177954751562216,46589742,213695927
Paris,6,180,60000,6,mean_intersection,fine,2,66.517301504,126.4168180000006,1339954480,0.0,0.0,27315359744,0.7840543861631541,46589742,213695927
Paris,6,180,60000,6,mean_intersection,boarding,2,12.955404197,23.797279999999773,528525760,0.0,0.0,26491383808,0.829979507898081,5169422,15065937
Paris,6,180,60000,6,mean_intersection,boarding,3,12.986529038,23.69818099999975,528534240,0.0,0.0,26646093824,0.8286909433977887,5169422,15065937
Paris,6,180,60000,6,mean_intersection,fine,3,67.393926057,128.10782400000062,1339954480,0.0,0.0,26520522752,0.9032294089603369,46589742,213695927
Paris,6,180,60000,6,reachable_union,fine,0,66.823599468,127.4055500000004,1330026080,0.0,0.0,27558518784,0.9908842164616295,46589742,213695927
Paris,6,180,60000,6,reachable_union,boarding,0,12.554357423,22.979794999999285,518052224,0.0,0.0,27694292992,1.0243618662957448,5169422,15065937
Paris,6,180,60000,6,reachable_union,boarding,1,12.606047143,23.08892199999991,518049344,0.0,0.0,26783830016,1.040062586727193,5169422,15065937
Paris,6,180,60000,6,reachable_union,fine,1,67.231859351,128.79031299999951,1330026080,0.0,0.0,26586546176,1.099027867341531,46589742,213695927
Paris,6,180,60000,6,reachable_union,fine,2,68.08150709,129.5219479999996,1330026768,0.0,0.0,27795951616,1.1596108161313745,46589742,213695927
Paris,6,180,60000,6,reachable_union,boarding,2,12.669212727,23.197345999999925,518052224,0.0,0.0,26795372544,1.1960217518239475,5169422,15065937
Paris,6,180,60000,6,reachable_union,boarding,3,12.711469649,23.082618999999795,518049232,0.0,0.0,26736386048,1.190844286141462,5169422,15065937
Paris,6,180,60000,6,reachable_union,fine,3,68.014645306,130.15875300000062,1330026768,0.0,0.0,27638128640,1.2551891819172096,46589742,213695927
Paris,6,180,60000,12,mean_intersection,fine,0,132.74463858,258.6469269999998,1435047240,0.0,0.0,27602104320,1.1550980487063043,75189422,361533481
Paris,6,180,60000,12,mean_intersection,boarding,0,28.187322372,52.04105199999958,575619912,0.0,0.0,26658578432,0.6977941267531611,10144372,31240182
Paris,6,180,60000,12,mean_intersection,boarding,1,28.224030834,52.17523699999947,575630440,0.0,0.0,26605690880,0.7133907668384739,10144372,31240182
Paris,6,180,60000,12,mean_intersection,fine,1,129.66256673,251.67353000000003,1435047240,0.0,0.0,27828633600,0.8098441412062211,75189422,361533481
Paris,6,180,60000,12,mean_intersection,fine,2,131.138288436,255.19986400000016,1435046552,0.0,0.0,28918063104,0.9815602867415918,75189422,361533481
Paris,6,180,60000,12,mean_intersection,boarding,2,28.616096807,53.23996999999963,575630440,0.0,0.0,27975876608,1.0644369218313225,10144372,31240182
Paris,6,180,60000,12,mean_intersection,boarding,3,28.753359148,53.455095999999685,575630552,0.0,0.0,26895802368,1.0678718907932763,10144372,31240182
Paris,6,180,60000,12,mean_intersection,fine,3,129.828598992,251.81211499999972,1435045864,0.0,0.0,26667511808,0.8199109119753258,75189422,361533481
Paris,6,180,60000,12,reachable_union,fine,0,128.704328361,249.93315299999995,1405325560,0.0,0.0,27667447808,0.8138564439437429,75189422,361533481
Paris,6,180,60000,12,reachable_union,boarding,0,26.918301703,49.754823000000215,545773192,0.0,0.0,28001017856,0.9036668534422019,10144372,31240182
Paris,6,180,60000,12,reachable_union,boarding,1,27.044142389,49.880629999999655,545770200,0.0,0.0,27924795392,0.9373331065692208,10144372,31240182
Paris,6,180,60000,12,reachable_union,fine,1,130.635619527,253.91159199999947,1405324184,0.0,0.0,27866857472,1.0310236096988816,75189422,361533481
Paris,6,180,60000,12,reachable_union,fine,2,131.75882932,255.65819399999964,1405325560,0.0,0.0,28907573248,1.1665389469019487,75189422,361533481
Paris,6,180,60000,12,reachable_union,boarding,2,27.617561579,51.07002499999999,545766488,0.0,0.0,28076531712,1.260066892598395,10144372,31240182
Paris,6,180,60000,12,reachable_union,boarding,3,27.760059427,51.46946300000036,545753960,0.0,0.0,25816879104,1.2716304550012685,10144372,31240182
Paris,6,180,60000,12,reachable_union,fine,3,130.768988835,253.72366500000044,1405325560,0.0,0.0,25642012672,1.0134385543595275,75189422,361533481
London,6,4,60000,3,mean_intersection,fine,0,0.819605583,1.361457999999402,1273313336,0.001963044,0.0,24617259008,0.8644914269079292,734315,8290618
London,6,4,60000,3,mean_intersection,boarding,0,0.177394164,0.28459099999963655,507824080,0.0,0.0,24691847168,0.9324376643743326,79417,489766
