city,radius,samples,step_ms,hours,mode,origin_h3,fine,boarding,signed_error,relative_error
Paris,18,96,60000,3,mean_intersection,881fb4659dfffff,1.830698e7,1.2223152e7,-6.083828e6,-0.33232286264583233
Paris,18,96,60000,3,mean_intersection,881fb466a1fffff,1.9929991e7,1.3866241e7,-6.06375e6,-0.30425252073621106
Paris,18,96,60000,3,mean_intersection,881fb09309fffff,1.8312257e7,1.2260276e7,-6.051981e6,-0.33048798954711045
Paris,18,96,60000,3,mean_intersection,881fb466adfffff,2.0159113e7,1.4168291e7,-5.990822e6,-0.29717686487495754
Paris,18,96,60000,3,mean_intersection,881fb46453fffff,2.002478e7,1.4036225e7,-5.988555e6,-0.2990572181067657
Paris,18,96,60000,3,mean_intersection,881fb46433fffff,1.9483068e7,1.3529792e7,-5.953276e6,-0.30556152655218366
Paris,18,96,60000,3,mean_intersection,881fb465d1fffff,1.8851883e7,1.2899285e7,-5.952598e6,-0.31575615019465164
Paris,18,96,60000,3,mean_intersection,881fb464e7fffff,1.8193667e7,1.2242067e7,-5.9516e6,-0.3271248176632012
Paris,18,96,60000,3,reachable_union,881fb0930dfffff,2.6864872135416675e7,1.739945941666674e7,-9.465412718749937e6,-0.3523341808975681
Paris,18,96,60000,3,reachable_union,881fb46451fffff,2.9843120395833336e7,2.0641304041666616e7,-9.20181635416672e6,-0.3083396183815774
Paris,18,96,60000,3,reachable_union,881fb46455fffff,3.0344363468749996e7,2.1385193447916657e7,-8.95917002083334e6,-0.295249891468638
Paris,18,96,60000,3,reachable_union,881fb09309fffff,2.6250514531250026e7,1.7336231343750086e7,-8.91428318749994e6,-0.3395850842042695
Paris,18,96,60000,3,reachable_union,881fb42b31fffff,2.6334017614583317e7,1.752977570833332e7,-8.804241906249996e6,-0.3343296125606889
Paris,18,96,60000,3,reachable_union,881fb466a1fffff,2.854532155208326e7,1.9806429083333384e7,-8.738892468749877e6,-0.30614097139543717
Paris,18,96,60000,3,reachable_union,881fb09301fffff,2.6011096218750022e7,1.7301906125000082e7,-8.70919009374994e6,-0.3348259535279388
