city,radius,samples,step_ms,hours,mode,origin_h3,fine,boarding,signed_error
Paris,6,4,60000,3,mean_intersection,881fb46647fffff,2.8095702e7,2.6175977e7,-1.919725e6
Paris,6,4,60000,3,mean_intersection,881fb4664dfffff,2.7236798e7,2.4274538e7,-2.96226e6
Paris,6,4,60000,3,mean_intersection,881fb46655fffff,2.6995941e7,2.5293026e7,-1.702915e6
Paris,6,4,60000,3,mean_intersection,881fb46657fffff,2.6995941e7,2.3187473e7,-3.808468e6
Paris,6,4,60000,3,mean_intersection,881fb46661fffff,2.8151217e7,2.6223888e7,-1.927329e6
Paris,6,4,60000,3,mean_intersection,881fb46663fffff,2.817378e7,2.6813082e7,-1.360698e6
Paris,6,4,60000,3,mean_intersection,881fb46665fffff,2.8151219e7,2.4011214e7,-4.140005e6
Paris,6,4,60000,3,mean_intersection,881fb46667fffff,2.7302674e7,2.72226e7,-80074.0
Paris,6,4,60000,3,mean_intersection,881fb46669fffff,2.8151217e7,2.6438016e7,-1.713201e6
Paris,6,4,60000,3,mean_intersection,881fb4666bfffff,2.8168028e7,2.6176127e7,-1.991901e6
Paris,6,4,60000,3,mean_intersection,881fb4666dfffff,2.7302674e7,2.4040153e7,-3.262521e6
Paris,6,4,60000,3,mean_intersection,881fb466e5fffff,2.7342716e7,1.8011807e7,-9.330909e6
Paris,6,4,60000,3,mean_intersection,881fb466edfffff,2.7342716e7,2.0103193e7,-7.239523e6
Paris,6,4,60000,3,mean_intersection,881fb46701fffff,2.7251125e7,2.4889969e7,-2.361156e6
Paris,6,4,60000,3,mean_intersection,881fb46703fffff,2.7229876e7,2.487321e7,-2.356666e6
Paris,6,4,60000,3,mean_intersection,881fb46705fffff,2.7163036e7,2.4262758e7,-2.900278e6
Paris,6,4,60000,3,mean_intersection,881fb46707fffff,2.7163293e7,2.4260472e7,-2.902821e6
Paris,6,4,60000,3,mean_intersection,881fb46709fffff,2.7215198e7,2.4968357e7,-2.246841e6
Paris,6,4,60000,3,mean_intersection,881fb4670bfffff,2.7273858e7,2.4391485e7,-2.882373e6
Paris,6,4,60000,3,mean_intersection,881fb4670dfffff,2.7217658e7,2.487321e7,-2.344448e6
Paris,6,4,60000,3,mean_intersection,881fb46711fffff,2.7173791e7,2.4071029e7,-3.102762e6
Paris,6,4,60000,3,mean_intersection,881fb46713fffff,2.7260461e7,2.3836667e7,-3.423794e6
Paris,6,4,60000,3,mean_intersection,881fb46715fffff,2.7174945e7,2.4181158e7,-2.993787e6
Paris,6,4,60000,3,mean_intersection,881fb46717fffff,2.7174019e7,1.9252613e7,-7.921406e6
Paris,6,4,60000,3,mean_intersection,881fb46719fffff,2.7228122e7,2.5090725e7,-2.137397e6
Paris,6,4,60000,3,mean_intersection,881fb4671bfffff,2.7258568e7,2.2000809e7,-5.257759e6
Paris,6,4,60000,3,mean_intersection,881fb4671dfffff,2.7183417e7,2.4298328e7,-2.885089e6
Paris,6,4,60000,3,mean_intersection,881fb46721fffff,2.7035006e7,2.4056822e7,-2.978184e6
Paris,6,4,60000,3,mean_intersection,881fb46723fffff,2.7103686e7,2.4086008e7,-3.017678e6
Paris,6,4,60000,3,mean_intersection,881fb46729fffff,2.7040833e7,2.406529e7,-2.975543e6
Paris,6,4,60000,3,mean_intersection,881fb4672bfffff,2.7031313e7,2.4162144e7,-2.869169e6
Paris,6,4,60000,3,mean_intersection,881fb46731fffff,2.7124917e7,2.4000553e7,-3.124364e6
Paris,6,4,60000,3,mean_intersection,881fb46733fffff,2.7114389e7,1.968728e7,-7.427109e6
Paris,6,4,60000,3,mean_intersection,881fb46735fffff,2.7163076e7,2.4842391e7,-2.320685e6
Paris,6,4,60000,3,mean_intersection,881fb46737fffff,2.7095579e7,2.3617794e7,-3.477785e6
Paris,6,4,60000,3,mean_intersection,881fb46739fffff,2.7175668e7,2.4301123e7,-2.874545e6
Paris,6,4,60000,3,mean_intersection,881fb4673bfffff,2.7174195e7,2.3864094e7,-3.310101e6
Paris,6,4,60000,3,mean_intersection,881fb4673dfffff,2.7163455e7,2.4739318e7,-2.424137e6
Paris,6,4,60000,3,mean_intersection,881fb46741fffff,2.717193e7,2.3437327e7,-3.734603e6
